freq	leg_stat	sex	unit	geo	2022 	2023 
A	ADM	CRT_RESL	NR	Romania	80633.0	73273.0
A	ADM	CRT_RESL	NR	Sweden	157642.0	167765.0
A	ADM	CRT_RESL	NR	Slovenia	2669.0	2427.0
A	ADM	CRT_RESL	NR	Slovakia	4790.0	3407.0
A	ADM	CRT_RESL	P_HTHAB	Austria	623.94	557.49
A	ADM	CRT_RESL	P_HTHAB	Belgium	164.84	168.47
A	ADM	CRT_RESL	P_HTHAB	Bulgaria	415.88	457.54
A	ADM	CRT_RESL	P_HTHAB	Cyprus	1124.79	1199.47
A	ADM	CRT_RESL	P_HTHAB	Czechia	92.51	81.72
A	ADM	CRT_RESL	P_HTHAB	Germany	673.95	655.16
A	ADM	CRT_RESL	P_HTHAB	Denmark		
A	ADM	CRT_RESL	P_HTHAB	Estonia	205.44	214.0
A	ADM	CRT_RESL	P_HTHAB	Greece	637.06	593.24
A	ADM	CRT_RESL	P_HTHAB	Spain	375.46	347.38
A	ADM	CRT_RESL	P_HTHAB	Finland	398.22	401.98
A	ADM	CRT_RESL	P_HTHAB	France	342.31	356.03
A	ADM	CRT_RESL	P_HTHAB	Croatia	351.84	361.42
A	ADM	CRT_RESL	P_HTHAB	Hungary	198.43	204.18
A	ADM	CRT_RESL	P_HTHAB	Italy	116.75	103.25
A	ADM	CRT_RESL	P_HTHAB	Lithuania	819.89	785.82
A	ADM	CRT_RESL	P_HTHAB	Luxembourg	163.31	178.72
A	ADM	CRT_RESL	P_HTHAB	Latvia	107.05	90.76
A	ADM	CRT_RESL	P_HTHAB	Malta	25.72	21.4
A	ADM	CRT_RESL	P_HTHAB	Netherlands	522.83	611.44
A	ADM	CRT_RESL	P_HTHAB	Poland	203.73	209.11
A	ADM	CRT_RESL	P_HTHAB	Portugal	261.31	291.62
A	ADM	CRT_RESL	P_HTHAB	Romania	423.44	384.54
A	ADM	CRT_RESL	P_HTHAB	Sweden	1508.2	1594.49
A	ADM	CRT_RESL	P_HTHAB	Slovenia	126.66	114.64
A	ADM	CRT_RESL	P_HTHAB	Slovakia	88.14	62.76
A	CIV_COM_LITIG	CRT_BGHT	NR	Austria	72872.0	80628.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Belgium	669454.0	681517.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Bulgaria		129124.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Czechia	313501.0	340690.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Germany	1001693.0	1074315.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Denmark	47020.0	54486.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Estonia	16739.0	17665.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Greece	140011.0	143045.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Spain	1372020.0	1519906.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Finland	8048.0	9798.0
A	CIV_COM_LITIG	CRT_BGHT	NR	France	1346826.0	1461353.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Croatia	97317.0	105751.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Hungary	119747.0	124436.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Ireland	102921.0	113457.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Italy	1313157.0	1270574.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Lithuania	87823.0	83997.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Luxembourg	6808.0	6761.0
A	CIV_COM_LITIG	CRT_BGHT	NR	Latvia	29977.0	30050.0
