freq	iccs	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	PER_CNV	M	NR	Bulgaria	134.0	107.0	113.0	107.0	97.0	65.0	66.0	93.0	77.0	74.0	62.0	55.0	37.0	50.0	41.0	50.0
A	ICCS0101	PER_CNV	M	NR	Switzerland	35.0	29.0	41.0	23.0	36.0	30.0	34.0	33.0	28.0	34.0	31.0	22.0	21.0	35.0	22.0	7.0
A	ICCS0101	PER_CNV	M	NR	Cyprus	3.0	5.0	11.0	2.0	8.0	18.0	6.0	3.0	6.0	13.0	2.0	7.0	16.0	10.0	9.0	
A	ICCS0101	PER_CNV	M	NR	Czechia	121.0	100.0	90.0	108.0	98.0	107.0	116.0	100.0	82.0	69.0	87.0	64.0	86.0	87.0	77.0	71.0
A	ICCS0101	PER_CNV	M	NR	Germany		344.0	342.0	286.0	326.0	259.0	287.0	299.0	289.0	258.0	262.0	313.0	276.0	254.0	243.0	225.0
A	ICCS0101	PER_CNV	M	NR	Denmark	21.0	34.0	48.0	24.0	31.0	20.0	19.0	33.0	16.0	30.0	28.0	22.0	37.0	32.0	29.0	36.0
A	ICCS0101	PER_CNV	M	NR	Estonia			50.0	38.0	56.0	61.0	28.0	32.0	34.0	22.0	26.0	34.0	27.0	28.0	23.0	
A	ICCS0101	PER_CNV	M	NR	Greece														224.0	202.0	143.0
A	ICCS0101	PER_CNV	M	NR	Spain					75.0	84.0	207.0	216.0	163.0	171.0	146.0	184.0	190.0	159.0	168.0	197.0
A	ICCS0101	PER_CNV	M	NR	Finland	86.0	59.0	67.0	69.0	64.0	53.0	67.0	47.0	50.0	44.0	34.0	46.0	49.0	46.0	44.0	43.0
A	ICCS0101	PER_CNV	M	NR	France	581.0	556.0	577.0	454.0	272.0	267.0	247.0	257.0	276.0	276.0	258.0	291.0	259.0	294.0	308.0	245.0
A	ICCS0101	PER_CNV	M	NR	Croatia	42.0	45.0	31.0	41.0	41.0	44.0	45.0	30.0	61.0	54.0	52.0	68.0	51.0	59.0	71.0	69.0
A	ICCS0101	PER_CNV	M	NR	Hungary	109.0	156.0	120.0	91.0	124.0	101.0	125.0	65.0	92.0	67.0	74.0	73.0	37.0	41.0	58.0	49.0
A	ICCS0101	PER_CNV	M	NR	Iceland						1.0		2.0	1.0				0.0	3.0	0.0	2.0
A	ICCS0101	PER_CNV	M	NR	Italy	600.0	577.0	565.0	436.0	480.0	513.0	587.0	489.0	583.0	566.0	648.0					
A	ICCS0101	PER_CNV	M	NR	Lithuania	253.0	201.0	221.0	199.0	165.0	151.0	177.0	120.0	133.0	135.0	98.0	85.0	56.0	70.0	71.0	46.0
A	ICCS0101	PER_CNV	M	NR	Luxembourg									0.0		0.0	1.0	0.0	4.0	11.0	5.0
