freq	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	M	P_HTHAB	Cyprus	13818.35	13274.83	15792.09	17197.71	13914.07	11632.97	13160.72	10507.13	8889.92	8340.55	7100.93	7405.96	6416.77	5875.7	6479.73	
A	PER_CNV	M	P_HTHAB	Czechia		1258.08	1196.71	1184.29	1202.86	1297.72	1236.19	1075.68	989.18	888.44	865.25	876.68	767.74	807.6	811.34	809.02
A	PER_CNV	M	P_HTHAB	Germany	1777.99	1713.48	1645.78	1669.72	1594.64	1547.77	1521.3	1489.26	1468.51	1424.46	1416.19	1446.13	1389.21	1322.78	1287.71	1310.29
A	PER_CNV	M	P_HTHAB	Denmark	2350.11	2475.07	2587.8	2810.62	2972.92	5805.81	5790.9	5494.89	5293.27	4943.33	5104.24	1459.19	1585.41	1488.68	1457.38	1551.34
A	PER_CNV	M	P_HTHAB	Greece														99.04	87.12	79.69
A	PER_CNV	M	P_HTHAB	Spain							890.64	885.01	1006.8	1036.02	1039.97	1038.2	807.52	1028.12	1121.12	1002.79
A	PER_CNV	M	P_HTHAB	Finland	7473.7	6396.14	6292.45	6192.05	5773.38	5467.22	5106.77	5342.73	4598.83	2538.45	2545.7	2529.07	2463.07	2441.69	2331.19	2340.2
A	PER_CNV	M	P_HTHAB	France	2050.81	2036.57	1966.67	1897.44	1927.33	1880.62	1623.38	1771.71	1291.68	1285.23	1514.64	1522.0	1268.42	1462.3	1380.23	1407.83
A	PER_CNV	M	P_HTHAB	Croatia	1085.37	1144.47	1104.28	1051.07	928.52	749.34	663.2	563.5	594.28	539.59	534.21	586.39	523.37	548.11	589.7	538.65
A	PER_CNV	M	P_HTHAB	Hungary	1518.04	1549.53	1578.21	1553.78	1384.37	1296.83	1424.82	1318.4	1335.13	1278.89	1237.2	1188.73	139.43	1020.26	1032.93	1036.09
A	PER_CNV	M	P_HTHAB	Iceland						1889.89										
A	PER_CNV	M	P_HTHAB	Italy	771.07	745.39	752.55	782.68	760.79	713.01	639.38	624.85	600.22	558.8	621.72					
A	PER_CNV	M	P_HTHAB	Lithuania	768.71	791.73	857.68	868.23	1085.35	1272.56	1343.66	1159.07	1057.23	1256.99	1400.92	1236.58	1136.96	1047.73	1048.22	1005.3
A	PER_CNV	M	P_HTHAB	Luxembourg									2308.84	2520.56	2151.17	1907.23	1872.59	2002.78	1509.24	1623.73
A	PER_CNV	M	P_HTHAB	Latvia	986.36	957.24	877.51	860.39	846.37	826.16	886.54	921.09	874.16	916.51	853.49	785.5	718.42	600.99	486.96	429.31
A	PER_CNV	M	P_HTHAB	Montenegro			208.7	345.28	444.25	409.39	423.56		1102.9	1048.57	1003.44	1061.06	1094.11	1033.68	897.52	816.89
A	PER_CNV	M	P_HTHAB	North Macedonia	931.0	955.88	877.42	955.4	868.76	898.91	1063.16			237.34		441.17	589.2	707.29	795.93	689.28
A	PER_CNV	M	P_HTHAB	Malta							30.76	24.49	12.81	20.72	20.78	4.37	4.13	7.47	14.42	5.62
A	PER_CNV	M	P_HTHAB	Netherlands	1232.82	1225.35	1039.96	983.73	930.38	968.59	930.9	952.45	851.79	848.92	812.4	793.17	617.35	643.24	648.11	686.29
