freq	leg_case	leg_stat	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A	ADM	CRT_PEN	NR	Germany	115828.0	111606.0	111073.0	106400.0	105768.0	110953.0	125197.0	122532.0	189173.0	338078.0	316576.0	278942.0	243052.0	225162.0	202833.0
A	ADM	CRT_PEN	NR	Estonia			1329.0	732.0	1026.0										
A	ADM	CRT_PEN	NR	Greece						345199.0	308863.0	263729.0	237791.0	199193.0	162490.0	139592.0	110933.0	98902.0	84827.0
A	ADM	CRT_PEN	NR	Spain	313445.0	332458.0	326948.0	335512.0	285005.0	226273.0	203931.0	176418.0	157415.0	152029.0	155712.0	170476.0	171471.0	175384.0	180258.0
A	ADM	CRT_PEN	NR	Finland	11231.0	12280.0	12536.0	11760.0	11487.0	11870.0	13962.0	13962.0	17886.0	16251.0	13632.0	13541.0	14531.0	18305.0	17084.0
A	ADM	CRT_PEN	NR	France				176057.0	164241.0	156224.0	163461.0	167378.0							
A	ADM	CRT_PEN	NR	Croatia	36871.0	36449.0	35303.0	32568.0	7075.0	12003.0	13978.0	15024.0	13693.0	10566.0	8421.0	7278.0	6434.0	6194.0	5325.0
A	ADM	CRT_PEN	NR	Hungary	6230.0	6951.0	7584.0	6483.0	5479.0	5320.0	6734.0	5776.0	5827.0	5467.0	5180.0	4768.0	7889.0	6277.0	6602.0
A	ADM	CRT_PEN	NR	Italy	671288.0	629493.0	504382.0	441496.0	320829.0	298221.0	267247.0	241865.0	212095.0	184410.0	165896.0	149958.0	135451.0	124196.0	108292.0
A	ADM	CRT_PEN	NR	Lithuania	1592.0	1507.0	2777.0	2830.0	2984.0	9188.0	10701.0	10749.0	4126.0	2604.0	4455.0	3799.0	4695.0	4945.0	5304.0
A	ADM	CRT_PEN	NR	Luxembourg														1428.0	1525.0
A	ADM	CRT_PEN	NR	Latvia	4265.0	5350.0	5449.0	5507.0	4349.0	2570.0	1545.0	1300.0	1409.0	1407.0	1311.0	1212.0	1094.0	1236.0	1103.0
A	ADM	CRT_PEN	NR	Montenegro	1620.0	1282.0	1220.0	1264.0	1701.0	1473.0	1810.0	2157.0	2719.0	10740.0	10394.0	10074.0	8505.0	9040.0	17092.0
A	ADM	CRT_PEN	NR	Malta						753.0	683.0	418.0	413.0	374.0	381.0	361.0	344.0	385.0	397.0
A	ADM	CRT_PEN	NR	Poland		17558.0	21267.0	21837.0	22131.0	28070.0	30991.0	33167.0	30867.0	25726.0	22374.0	23363.0	26785.0	33017.0	34155.0
A	ADM	CRT_PEN	NR	Portugal								75721.0	72816.0	70302.0	67659.0	66145.0	60473.0	58207.0	55368.0
A	ADM	CRT_PEN	NR	Romania	18628.0	27282.0	52358.0	91848.0	140907.0	110336.0	84190.0	59059.0	69388.0	66285.0	52297.0	52333.0	55221.0	55049.0	54550.0
A	ADM	CRT_PEN	NR	Serbia						24988.0	24262.0	25896.0	28176.0	30750.0	37514.0	38769.0	48011.0	64836.0	103198.0
A	ADM	CRT_PEN	NR	Sweden	40732.0	46401.0	58528.0	50389.0	42450.0	42542.0	38990.0	33760.0	43229.0	59263.0	64585.0	61674.0	57374.0	51411.0	46215.0
A	ADM	CRT_PEN	NR	Slovenia	4285.0	3057.0	2300.0	2416.0	1923.0	1818.0	1669.0	1617.0	2000.0	3294.0	3599.0	3946.0	3751.0	3898.0	3946.0
A	ADM	CRT_PEN	NR	Slovakia	187.0	163.0	141.0	116.0	100.0	106.0	123.0	128.0	121.0	5166.0	5352.0	6381.0	7052.0	8143.0	8501.0
A	ADM	CRT_PEN	NR	Turkey		160445.0	198349.0	169291.0	127635.0	164392.0	148044.0	168262.0	209919.0	146903.0	151004.0	187073.0	197572.0	198902.0	212806.0
A	ADM	CRT_PEN	NR	England and Wales	462526.0	627688.0	727299.0	746765.0	836476.0	862897.0	366596.0	396463.0	450710.0						
A	ADM	CRT_PEN	NR	Kosovo	1087.0	792.0	1028.0	1384.0	1616.0	2560.0	4039.0	5380.0	5192.0	5304.0	6093.0	6315.0			
A	ADM	CRT_PEN	P_HTHAB	Albania							132.63	114.87	123.84	104.92	106.4	156.72	208.96	193.45	
A	ADM	CRT_PEN	P_HTHAB	Bosnia and Herzegovina	198.37	233.66	28.8	301.81	302.51										
A	ADM	CRT_PEN	P_HTHAB	Bulgaria				116.44	148.57	118.37	116.54	121.3	107.83	132.5	135.15	142.96	143.28	143.28	142.38
A	ADM	CRT_PEN	P_HTHAB	Switzerland	60.37	184.24	170.4	214.88	190.96				54.29						
A	ADM	CRT_PEN	P_HTHAB	Czechia				84.02	85.33	81.79	86.2	86.81	95.71	100.86	113.95	106.42	91.49	74.97	57.03
A	ADM	CRT_PEN	P_HTHAB	Germany	140.88	136.1	135.78	132.63	131.67	137.79	155.01	150.91	230.21	409.68	382.37	336.0	292.25	270.77	243.68
A	ADM	CRT_PEN	P_HTHAB	Estonia			99.68	55.05	77.42										
A	ADM	CRT_PEN	P_HTHAB	Greece						3137.14	2826.65	2428.89	2205.09	1849.83	1512.78	1301.61	1034.96	926.17	810.98
A	ADM	CRT_PEN	P_HTHAB	Spain	686.34	718.99	703.32	718.95	608.75	484.24	438.45	379.81	338.96	326.75	333.73	363.2	362.27	370.02	380.03
A	ADM	CRT_PEN	P_HTHAB	Finland	211.89	230.55	234.26	218.78	212.67	218.73	256.12	255.17	325.95	295.3	247.26	245.4	262.99	330.79	307.92
A	ADM	CRT_PEN	P_HTHAB	France				270.95	251.61	238.15	247.89	251.74							
A	ADM	CRT_PEN	P_HTHAB	Croatia	855.09	845.72	820.46	759.19	165.46	281.62	329.14	355.57	326.75	254.34	205.12	178.55	158.54	153.46	137.87
