freq	leg_stat	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	PER_CNV	FOR	P_HTHAB	Turkey		8.95	8.68	10.36	11.86	4.5	6.89	7.72	6.38	7.31	11.82	13.66	13.13	19.91	19.4	19.94
A	PER_CNV	FOR	P_HTHAB	Kosovo	4.41	3.39	4.35	6.13					2.09	2.02	1.78	2.45				
A	PER_CNV	NAT	NR	Austria	27235.0	26559.0	26332.0	24836.0	23746.0	22317.0	20770.0	19261.0	17930.0	17745.0	15622.0	15619.0	14051.0	13936.0	14052.0	13754.0
A	PER_CNV	NAT	NR	Bosnia and Herzegovina				15670.0	17803.0	18974.0										
A	PER_CNV	NAT	NR	Belgium			114277.0	113046.0	126993.0	105585.0	85360.0	94167.0		172333.0	164218.0	146013.0	114564.0			
A	PER_CNV	NAT	NR	Bulgaria	35234.0	39848.0	36784.0	39434.0	36065.0	30649.0	26998.0	24516.0	26020.0	24335.0	22762.0	22212.0	20878.0	22255.0	21532.0	20731.0
A	PER_CNV	NAT	NR	Switzerland	51529.0	51709.0	53337.0	48760.0	50248.0	46270.0	47503.0	47641.0	46897.0	45218.0	45686.0	43668.0	43668.0	44322.0	45309.0	44619.0
A	PER_CNV	NAT	NR	Czechia	70253.0	68459.0	65798.0	65307.0	66558.0	73056.0	68048.0	60692.0	56255.0	50577.0	49136.0	49751.0	43837.0	44646.0	44739.0	45003.0
A	PER_CNV	NAT	NR	Germany	701049.0	675205.0	643599.0	630240.0	596959.0	570896.0	554109.0	529884.0	506311.0	482979.0	470027.0	472983.0	451612.0	423435.0	408721.0	401232.0
A	PER_CNV	NAT	NR	Denmark							173041.0	165574.0	159631.0	148274.0	149799.0	39939.0	45176.0	41999.0	41151.0	44266.0
A	PER_CNV	NAT	NR	Greece														3207.0	3080.0	2898.0
A	PER_CNV	NAT	NR	Spain		0.0					178519.0	181946.0	218904.0	231555.0	229857.0	226537.0	174839.0	223050.0	241419.0	212918.0
A	PER_CNV	NAT	NR	Finland	218246.0	188187.0	184769.0	180642.0	169883.0	162416.0	153440.0	160291.0	136526.0	71638.0	72108.0	72064.0	71317.0	72035.0	68466.0	69103.0
