freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	P_HTHAB	Ireland	1.14	1.17	1.21	0.92	1.13	1.11	1.15	0.64	0.72	0.82	0.81	0.65	0.64	0.43	0.87	0.64
A	ICCS0101	P_HTHAB	Iceland	0.0	0.31	0.63	0.94	0.31	0.31	0.61	0.91	0.3	0.89	0.57	0.28	0.82	0.54	1.06	1.29
A	ICCS0101	P_HTHAB	Italy	1.05	1.0	0.89	0.93	0.89	0.85	0.8	0.77	0.67	0.62	0.59	0.53	0.48	0.51	0.55	0.57
A	ICCS0101	P_HTHAB	Liechtenstein	2.83	0.0	2.79	0.0	0.0	0.0	2.69	0.0	0.0	2.64	2.62	0.0	2.58		0.0	0.0
A	ICCS0101	P_HTHAB	Lithuania	8.9	7.54	6.33	6.19	6.03	5.79	5.27	5.75	4.92	3.97	3.45	3.01	3.54	2.5	2.21	2.41
A	ICCS0101	P_HTHAB	Luxembourg	1.45	1.01	1.59	0.78	0.57	0.37	0.73	0.89	0.87	0.34	0.5	0.65	0.32	0.47	1.39	0.61
A	ICCS0101	P_HTHAB	Latvia	4.52	4.99	3.3	3.33	4.74	3.41	3.85	4.08	5.64	5.59	5.22	4.74	4.88	5.18	4.05	4.2
A	ICCS0101	P_HTHAB	Montenegro	3.57	1.62	2.1	3.07	2.42	1.45	3.06	2.73	3.86	1.77	2.09	3.38	2.57	2.26	1.13	0.81
A	ICCS0101	P_HTHAB	North Macedonia	1.71	1.71	1.9	1.31	1.36	0.97	1.21	1.01	0.82	1.21		1.06	0.48	0.63	0.98	1.26
A	ICCS0101	P_HTHAB	Malta	1.47	0.97	0.97	0.72	2.39	1.42	1.41	0.93	1.11	1.96	1.26	0.81	1.17	0.39	1.54	0.37
A	ICCS0101	P_HTHAB	Netherlands	0.91	0.93				0.88	0.86	0.71	0.64	0.92	0.69	0.72	0.7	0.72	0.81	0.7
A	ICCS0101	P_HTHAB	Norway	0.72	0.6	0.6	2.26	0.54	0.93	0.57	0.46	0.52	0.53	0.47	0.53	0.58	0.54	0.55	0.73
A	ICCS0101	P_HTHAB	Poland	1.21	1.29	1.15	1.18	0.99	0.78	0.74	0.76	0.67	0.73	0.7	0.54	0.69	0.7	0.69	0.8
A	ICCS0101	P_HTHAB	Portugal	1.17	1.23	1.17	1.08	1.16	1.37	0.88	0.96	0.64	0.74	0.79	0.71	0.79	0.8	0.72	0.7
A	ICCS0101	P_HTHAB	Romania	2.28	1.94	1.88	1.56	1.88	1.68	1.49	1.46	1.25	1.3	1.37	1.31	1.32	0.99	0.93	0.73
