freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS0401	Romania	4647.0	4161.0	4154.0	3866.0	4010.0	3548.0	3336.0	3280.0	3467.0	3025.0	2782.0	3087.0	3326.0	4078.0	2496.0
A	NR	ICCS0401	Serbia								32511.0	39627.0	27333.0	21126.0	22893.0	23854.0	23785.0	24272.0
A	NR	ICCS0401	Sweden	6101.0	5331.0	5747.0	5821.0	6641.0	6713.0	8628.0	8999.0	8538.0	8974.0	8575.0	8590.0	9398.0	8584.0	8673.0
A	NR	ICCS0401	Slovenia	205.0	275.0	292.0	507.0	341.0	379.0	463.0	474.0	503.0	449.0	349.0	398.0	429.0	525.0	450.0
A	NR	ICCS0401	Slovakia					1199.0	1231.0	1437.0	1264.0	1366.0	1578.0	1918.0	2156.0	1919.0	1594.0	1429.0
A	NR	ICCS0401	Turkey	353.0	262.0	1809.0	1671.0	1491.0	1656.0	1585.0	1858.0	3109.0	3943.0	4827.0	10864.0	15147.0	21609.0	12657.0
A	NR	ICCS0401	England and Wales	57845.0	60007.0	68074.0	74035.0	63072.0	66835.0	84277.0	95154.0	121359.0	110271.0	103736.0	91010.0	98198.0	101376.0	84773.0
A	NR	ICCS0401	Scotland	5582.0	5297.0	5330.0	5254.0	4484.0	4951.0	5075.0	4420.0	4228.0	4938.0	4159.0	3736.0	3553.0	3578.0	3064.0
A	NR	ICCS0401	Northern Ireland	1723.0	1567.0	1539.0	1725.0	1653.0	1395.0	1383.0	1767.0	2222.0	2497.0	1973.0	1487.0	1744.0	1574.0	1143.0
A	NR	ICCS05012	Austria		14160.0	13721.0	13849.0	12826.0	11811.0	10111.0	13262.0	13008.0	12674.0	13429.0	20276.0	21227.0	18945.0	20040.0
A	NR	ICCS05012	Belgium								83315.0	77330.0	79203.0	63994.0	57484.0	56978.0	63615.0	62964.0
A	NR	ICCS05012	Bulgaria			80671.0	70126.0	85356.0	43830.0	33004.0	39455.0	36269.0	31639.0	28210.0	25565.0	22379.0	23460.0	22208.0
A	NR	ICCS05012	Switzerland	69278.0	66466.0	67044.0	74321.0	82559.0	83416.0	76322.0	60384.0	57375.0	60822.0	68551.0	70370.0	61194.0	56706.0	57493.0
A	NR	ICCS05012	Cyprus	1443.0	1287.0	1002.0	1316.0	1083.0	1347.0	1026.0	1010.0	792.0	1228.0	3159.0	3311.0	2812.0	3084.0	2656.0
A	NR	ICCS05012	Czechia	17632.0	14804.0	13936.0	13538.0	13068.0	12752.0	12445.0	11294.0	10590.0	11933.0	12164.0	11670.0	10361.0	9603.0	9163.0
A	NR	ICCS05012	Germany	227090.0	210982.0	211221.0	195801.0	182009.0	166742.0	149044.0	140015.0	133722.0	130055.0	123280.0	124155.0	109736.0	106107.0	109128.0
A	NR	ICCS05012	Denmark	35562.0	31864.0	32363.0	33502.0	34648.0	31463.0	34311.0	32846.0	32274.0	35557.0	33879.0	32956.0	29439.0	31204.0	36342.0
A	NR	ICCS05012	Estonia	7137.0	6878.0	8175.0	6864.0	6610.0	7026.0	7588.0	7285.0	7652.0	7356.0	6495.0	5752.0	4766.0	3928.0	3096.0
A	NR	ICCS05012	Greece	32803.0	34011.0	42377.0	42825.0	44286.0	43228.0	36947.0	31840.0	31903.0	31805.0	31181.0	26489.0	37595.0	42069.0	49886.0
A	NR	ICCS05012	Spain			76610.0	80808.0	84430.0	89428.0	91553.0	90518.0	99066.0	93751.0	88128.0	81552.0	81495.0	80981.0	72723.0
