freq,leg_stat,citizen,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_CNV,NAT,P_HTHAB,PL	1160.81 	1140.52 	1179.48 	1155.31 	1108.74 	960.07 	802.14 	697.60 	767.85 	639.18 	724.53 	750.30 	658.35 	: 	: 	: 
A,PER_CNV,NAT,P_HTHAB,PT	731.26 	643.18 	637.43 	639.56 	655.12 	601.08 	448.99 	510.95 	489.77 	446.29 	401.06 	387.01 	295.99 	351.94 	373.22 	336.07 
A,PER_CNV,NAT,P_HTHAB,RO	174.74 	164.73 	: 	: 	: 	: 	: 	: 	163.98 	178.03 	162.84 	171.48 	161.41 	182.36 	171.35 	163.61 
A,PER_CNV,NAT,P_HTHAB,RS	: 	: 	: 	: 	455.35 	475.49 	514.02 	481.52 	476.57 	458.73 	430.84 	415.82 	369.58 	401.19 	379.23 	405.97 
A,PER_CNV,NAT,P_HTHAB,SI	: 	: 	: 	: 	: 	: 	: 	339.77 	289.70 	246.43 	258.80 	239.41 	193.81 	241.73 	205.68 	209.12 
A,PER_CNV,NAT,P_HTHAB,SK	522.39 	564.92 	567.66 	547.73 	636.62 	653.71 	607.72 	533.47 	486.23 	468.18 	520.79 	504.18 	450.58 	418.06 	446.63 	419.32 
A,PER_CNV,NAT,P_HTHAB,TR	: 	1792.48 	1663.31 	1668.15 	1950.08 	650.26 	632.38 	660.68 	576.33 	550.46 	675.17 	708.61 	578.84 	808.04 	786.38 	780.06 
A,PER_CNV,NAT,P_HTHAB,XK	611.15 	611.78 	445.13 	1017.57 	: 	: 	: 	: 	1045.04 	1094.35 	1134.39 	1000.02 	: 	: 	: 	: 
A,PER_CNV,TOTAL,NR,AL	8009 	7670 	8510 	9754 	9562 	8577 	13618 	16141 	14614 	10911 	11614 	11052 	9853 	12603 	11422 	8856 
A,PER_CNV,TOTAL,NR,AT	38226 	37868 	38394 	36461 	35541 	34424 	32980 	32118 	30450 	30746 	27655 	27284 	23716 	23731 	24466 	25033 
A,PER_CNV,TOTAL,NR,BA	16951 	17707 	17294 	15709 	17846 	19015 	18442 	17471 	16592 	15036 	14447 	13616 	10702 	11356 	10770 	10702 
A,PER_CNV,TOTAL,NR,BE	: 	: 	140990 	142882 	163323 	141857 	117534 	132122 	43578 	238286 	229599 	202990 	159957 	: 	: 	: 
A,PER_CNV,TOTAL,NR,BG	36137 	40872 	39070 	41013 	37996 	34113 	31849 	27787 	28301 	25800 	23973 	23389 	21889 	24121 	24047 	23037 
A,PER_CNV,TOTAL,NR,CH	100048 	102526 	106935 	101903 	109123 	107099 	108877 	108819 	108393 	105156 	106185 	97170 	97170 	98912 	103444 	105916 
A,PER_CNV,TOTAL,NR,CY	63775 	62466 	75693 	86813 	71545 	60819 	68708 	54095 	45324 	43477 	39502 	39975 	35541 	33563 	36984 	: 
A,PER_CNV,TOTAL,NR,CZ	75882 	73787 	70651 	70160 	71471 	77976 	72825 	65569 	61423 	55705 	54448 	55594 	45558 	49647 	50227 	51399 
A,PER_CNV,TOTAL,NR,DE	874691 	844520 	813266 	807815 	773901 	755938 	748782 	739487 	737873 	716044 	712338 	728868 	699269 	662100 	647374 	656901 
A,PER_CNV,TOTAL,NR,DK	163095 	173255 	183599 	200452 	209632 	206214 	209388 	195172 	189750 	177935 	182804 	51439 	56280 	52837 	52678 	57224 
A,PER_CNV,TOTAL,NR,EE	11574 	7881 	9131 	9992 	9638 	8477 	7670 	7375 	7619 	6714 	5702 	5703 	4949 	4569 	3837 	: 
A,PER_CNV,TOTAL,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5426 	4764 	4294 
A,PER_CNV,TOTAL,NR,ES	241743 	257148 	248313 	256391 	253715 	245820 	233875 	236843 	284454 	298979 	300301 	301043 	232675 	295805 	322650 	293344 
A,PER_CNV,TOTAL,NR,FI	237782 	206430 	206070 	202922 	191015 	182679 	173056 	181694 	156034 	82427 	82822 	82956 	80692 	80740 	77562 	78807 
A,PER_CNV,TOTAL,NR,FR	703695 	703853 	682489 	663417 	679219 	667579 	578482 	574475 	468583 	466980 	546279 	549552 	458259 	530201 	504379 	517857 
A,PER_CNV,TOTAL,NR,HR	25126 	26355 	25355 	24203 	21174 	17162 	15452 	12972 	13777 	12424 	12168 	13295 	11902 	12550 	12629 	11523 
A,PER_CNV,TOTAL,NR,HU	84457 	86901 	89343 	85110 	75291 	70326 	76317 	71738 	71686 	68735 	66681 	64043 	53850 	54936 	55407 	55676 
A,PER_CNV,TOTAL,NR,IE	: 	3146 	3308 	3182 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,TOTAL,NR,IT	260375 	252076 	254384 	266039 	259923 	246980 	226939 	220903 	198177 	194720 	215991 	: 	: 	: 	: 	: 
A,PER_CNV,TOTAL,NR,LT	12788 	13050 	13992 	13697 	16631 	19530 	20358 	17273 	15508 	18058 	19779 	17564 	16060 	15010 	14959 	14717 
A,PER_CNV,TOTAL,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	8433 	9546 	8205 	7582 	7504 	8032 	5954 	6576 
A,PER_CNV,TOTAL,NR,LV	10979 	10702 	9626 	9194 	8942 	8626 	9213 	9558 	8945 	9262 	8587 	8099 	7093 	6849 	4951 	4306 
A,PER_CNV,TOTAL,NR,ME	: 	: 	673 	1121 	1444 	3238 	3111 	2755 	3712 	3528 	3344 	3611 	3703 	3535 	3002 	2724 
A,PER_CNV,TOTAL,NR,MK	10218 	10549 	9716 	10532 	9598 	10012 	12144 	: 	: 	2769 	: 	5016 	6701 	8016 	8031 	6835 
A,PER_CNV,TOTAL,NR,NL	115051 	114849 	98150 	93362 	87879 	92190 	88878 	91446 	81799 	82070 	78546 	76827 	59444 	62103 	62543 	66894 
A,PER_CNV,TOTAL,NR,NO	66503 	64165 	66983 	64681 	63428 	67048 	63859 	65196 	62343 	59724 	14910 	14733 	14253 	13502 	12819 	12707 
A,PER_CNV,TOTAL,NR,PL	447686 	440225 	455649 	446271 	429087 	372343 	311741 	272271 	300867 	251093 	285522 	296898 	261556 	: 	: 	: 
A,PER_CNV,TOTAL,NR,PT	87861 	78266 	77776 	77811 	79212 	71171 	52861 	59462 	56939 	51968 	46688 	45312 	35345 	42691 	45847 	42283 
A,PER_CNV,TOTAL,NR,RO	36795 	34226 	41891 	47577 	49188 	47133 	40832 	42276 	32720 	35396 	32204 	33683 	31483 	35317 	32907 	31439 
A,PER_CNV,TOTAL,NR,RS	44367 	42782 	23321 	33097 	33624 	34889 	37410 	35115 	34557 	33392 	31298 	29788 	26726 	28891 	27413 	28373 
A,PER_CNV,TOTAL,NR,SE	69454 	71715 	74510 	73680 	71110 	64391 	60662 	59344 	56659 	57372 	60565 	62708 	68996 	74581 	76636 	80008 
A,PER_CNV,TOTAL,NR,SI	9228 	8453 	8423 	7965 	8825 	11758 	9729 	8241 	7006 	6521 	6324 	6256 	5007 	5974 	5567 	5258 
A,PER_CNV,TOTAL,NR,SK	28681 	30953 	31179 	30110 	35077 	36079 	33610 	29691 	27208 	26330 	29385 	28431 	25392 	23642 	25254 	23963 
A,PER_CNV,TOTAL,NR,TR	: 	1288334 	1213217 	1237448 	1514825 	500608 	492869 	521213 	459195 	445436 	555369 	592398 	492323 	692281 	682380 	682243 
A,PER_CNV,TOTAL,NR,UKC-L	1355146 	1399856 	1359715 	1306509 	1224976 	1172953 	1211152 	1241080 	1231726 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,TOTAL,NR,UKM	60399 	56428 	54766 	53249 	48105 	45659 	: 	: 	: 	82716 	: 	: 	: 	: 	: 	: 
A,PER_CNV,TOTAL,NR,UKN	39018 	39539 	39628 	40538 	38914 	35276 	26607 	24379 	22956 	23630 	24921 	: 	: 	: 	: 	: 
A,PER_CNV,TOTAL,NR,XK	13254 	13415 	9925 	18367 	20990 	15832 	18330 	16907 	18554 	19519 	20434 	18001 	: 	: 	: 	: 
A,PER_CNV,TOTAL,P_HTHAB,AL	252.64 	240.83 	: 	344.45 	: 	: 	470.24 	559.33 	508.21 	379.30 	404.62 	386.11 	346.21 	445.38 	408.86 	320.66 
A,PER_CNV,TOTAL,P_HTHAB,AT	460.11 	454.32 	459.72 	435.35 	422.70 	407.29 	387.69 	374.50 	349.98 	350.47 	313.47 	307.99 	266.44 	265.67 	272.48 	274.94 
A,PER_CNV,TOTAL,P_HTHAB,BA	440.99 	460.64 	449.89 	408.75 	464.83 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,TOTAL,P_HTHAB,BE	: 	: 	1300.66 	1298.85 	1472.06 	1270.93 	1051.21 	1175.75 	385.27 	2099.12 	2014.28 	1771.98 	1388.22 	: 	: 	: 
A,PER_CNV,TOTAL,P_HTHAB,BG	480.67 	547.36 	526.42 	556.53 	518.56 	468.29 	439.56 	385.81 	395.61 	363.29 	340.04 	334.13 	314.88 	348.74 	370.95 	357.29 
A,PER_CNV,TOTAL,P_HTHAB,CH	1317.55 	1331.19 	1373.46 	1294.81 	1371.81 	1332.23 	1337.62 	1320.99 	1301.69 	1248.95 	1251.57 	1137.22 	1129.09 	1140.81 	1183.73 	1201.49 
