freq,leg_stat,citizen,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_PRSC,TOTAL,NR,IE	: 	90193 	84139 	76881 	65161 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,NR,IS	3224 	: 	: 	1957 	2611 	2837 	2489 	2395 	2333 	2286 	2419 	2784 	2643 	2164 	2012 	1664 
A,PER_PRSC,TOTAL,NR,IT	563948 	1577949 	1561537 	1543054 	1567225 	1578135 	1648465 	1610131 	1546612 	1424399 	1861598 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,NR,LI	2089 	2967 	2864 	1066 	1086 	: 	1078 	1008 	964 	1087 	1051 	: 	1284 	1215 	1393 	1134 
A,PER_PRSC,TOTAL,NR,LT	16630 	17610 	18275 	18436 	20283 	22945 	22742 	19661 	17612 	24899 	21128 	19019 	18023 	16278 	16143 	15804 
A,PER_PRSC,TOTAL,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	16232 	14172 	10443 	10942 	9468 	9786 	9746 	10320 
A,PER_PRSC,TOTAL,NR,LV	12685 	12328 	10937 	12890 	13563 	12397 	9164 	10060 	10613 	9785 	9375 	9408 	9233 	8811 	8548 	8842 
A,PER_PRSC,TOTAL,NR,ME	8677 	7126 	5588 	5684 	5554 	7745 	7393 	6953 	7334 	7837 	8642 	8658 	10134 	10039 	9161 	9227 
A,PER_PRSC,TOTAL,NR,MK	26409 	30404 	30004 	31284 	31860 	34436 	37164 	: 	: 	21460 	: 	12780 	14314 	12822 	12902 	12007 
A,PER_PRSC,TOTAL,NR,MT	: 	1844 	: 	1577 	1571 	2903 	2858 	2697 	1720 	2311 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,NR,NL	252197 	226509 	208420 	227953 	222851 	206328 	208288 	187950 	186386 	170789 	166355 	184416 	168656 	160641 	179383 	175654 
A,PER_PRSC,TOTAL,NR,NO	69958 	66920 	68185 	66699 	65654 	66696 	64977 	64274 	64500 	57781 	55414 	53183 	49948 	46737 	45053 	43183 
A,PER_PRSC,TOTAL,NR,PL	555091 	557119 	549815 	560949 	533408 	505927 	361825 	323612 	389212 	269512 	269002 	286620 	260763 	302338 	241927 	232739 
A,PER_PRSC,TOTAL,NR,PT	141109 	125260 	124186 	120604 	120719 	110682 	80519 	90477 	86209 	78158 	69788 	67461 	51564 	63669 	67703 	62131 
A,PER_PRSC,TOTAL,NR,RO	45073 	49743 	56949 	60980 	59739 	65711 	50342 	58909 	145851 	132313 	133354 	133339 	120231 	125410 	124858 	123071 
A,PER_PRSC,TOTAL,NR,RS	61740 	63771 	54908 	54939 	58955 	58423 	41011 	123728 	113191 	105084 	111546 	104027 	92072 	90260 	86788 	85886 
A,PER_PRSC,TOTAL,NR,SE	97464 	100945 	101438 	98192 	94198 	87868 	85238 	84067 	80325 	82664 	85145 	86928 	90784 	87196 	85990 	88403 
A,PER_PRSC,TOTAL,NR,SI	15080 	14511 	14680 	13867 	13039 	12815 	12299 	12093 	11388 	11065 	8856 	8886 	8865 	8119 	7643 	8006 
A,PER_PRSC,TOTAL,NR,SK	51029 	53413 	53557 	52010 	54100 	53899 	51733 	45551 	40679 	39678 	35748 	34102 	31866 	29362 	29913 	29059 
A,PER_PRSC,TOTAL,NR,TR	: 	3154560 	3287783 	3317023 	3474826 	2556189 	2590829 	2614148 	2387388 	2649035 	3077013 	4409513 	3860256 	4567925 	4866082 	4808274 
A,PER_PRSC,TOTAL,NR,UKC-L	1629113 	1682888 	1642548 	1570312 	1475470 	1432318 	1458921 	1481472 	1445304 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,NR,UKM	70136 	66343 	62999 	62104 	57010 	55829 	56714 	: 	: 	95254 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,NR,UKN	: 	: 	43725 	38330 	38422 	48200 	31480 	29316 	27649 	28354 	29308 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,NR,XK	: 	: 	29906 	38323 	36224 	30869 	18330 	16907 	18554 	42469 	38675 	33124 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,P_HTHAB,AL	374.82 	357.61 	: 	384.28 	: 	: 	667.20 	683.38 	606.69 	568.59 	566.10 	514.35 	471.16 	572.35 	581.55 	505.58 
A,PER_PRSC,TOTAL,P_HTHAB,AT	3656.26 	3425.91 	3338.84 	3390.43 	3407.50 	3395.10 	3569.13 	3529.87 	3564.06 	3572.16 	3408.01 	3754.72 	3435.93 	3376.00 	3743.84 	4002.08 
A,PER_PRSC,TOTAL,P_HTHAB,BA	545.03 	501.38 	520.55 	584.10 	590.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,P_HTHAB,BE	5747.62 	5908.02 	5889.56 	5796.88 	5329.69 	5213.35 	5208.52 	4957.59 	4789.25 	4738.59 	4796.43 	5104.23 	5879.54 	5483.56 	4841.59 	4831.23 
A,PER_PRSC,TOTAL,P_HTHAB,BG	693.66 	708.21 	743.89 	774.32 	675.34 	648.54 	594.52 	539.57 	537.74 	522.22 	472.59 	457.04 	443.95 	459.25 	476.90 	470.86 
A,PER_PRSC,TOTAL,P_HTHAB,CH	: 	: 	: 	: 	: 	: 	1337.62 	1316.59 	1293.05 	1218.34 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,P_HTHAB,CY	13374.29 	12821.58 	14387.53 	16522.04 	14979.62 	12050.66 	14667.02 	11338.62 	9771.21 	8301.34 	6975.18 	8127.65 	6039.38 	6551.73 	7104.64 	: 
A,PER_PRSC,TOTAL,P_HTHAB,CZ	1067.44 	1085.91 	966.66 	979.97 	982.15 	1004.91 	983.67 	868.00 	803.93 	729.95 	723.12 	726.03 	633.82 	613.45 	650.67 	650.57 
A,PER_PRSC,TOTAL,P_HTHAB,DE	1323.12 	1288.75 	1244.47 	1250.85 	1195.38 	1162.13 	927.08 	910.73 	897.92 	867.70 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,P_HTHAB,DK	1068.59 	1123.99 	1106.59 	1314.55 	1720.88 	1466.19 	1386.60 	1700.42 	1569.39 	1507.38 	1718.50 	1709.62 	1677.54 	1508.77 	1635.50 	1585.70 
A,PER_PRSC,TOTAL,P_HTHAB,EE	1031.35 	892.39 	825.78 	843.30 	789.83 	722.78 	655.79 	612.00 	647.75 	550.38 	471.98 	456.89 	376.83 	348.55 	284.95 	239.99 
A,PER_PRSC,TOTAL,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80.22 	68.80 	108.70 
A,PER_PRSC,TOTAL,P_HTHAB,ES	: 	: 	: 	: 	: 	: 	502.83 	509.89 	612.52 	642.58 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,P_HTHAB,FI	4564.64 	3951.25 	3924.86 	3852.16 	3615.30 	3440.32 	3242.33 	3386.34 	2903.41 	1556.87 	1565.92 	1563.71 	1513.62 	1524.51 	1461.62 	1485.88 
A,PER_PRSC,TOTAL,P_HTHAB,FR	: 	: 	: 	1060.39 	1035.13 	1020.82 	1008.65 	1002.21 	1015.04 	1010.10 	1042.67 	1035.77 	896.67 	964.17 	969.99 	978.42 
A,PER_PRSC,TOTAL,P_HTHAB,HR	1731.00 	: 	: 	1637.58 	1545.09 	1372.01 	1250.07 	1406.45 	1472.94 	1438.44 	1346.15 	1321.88 	1216.09 	1210.80 	1219.48 	1213.74 
A,PER_PRSC,TOTAL,P_HTHAB,HU	922.87 	923.54 	999.39 	881.58 	772.91 	797.59 	808.26 	764.10 	751.90 	696.91 	: 	1110.06 	1152.57 	1234.62 	1213.71 	1303.27 
A,PER_PRSC,TOTAL,P_HTHAB,IE	: 	1994.84 	1849.44 	1681.97 	1421.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,P_HTHAB,IS	1022.00 	: 	: 	614.54 	817.02 	881.45 	764.27 	727.74 	701.59 	675.63 	694.22 	779.85 	725.83 	586.78 	534.75 	429.13 
A,PER_PRSC,TOTAL,P_HTHAB,IT	961.50 	2674.46 	2638.17 	2599.28 	2638.68 	2644.10 	2712.06 	2648.43 	2549.41 	2350.90 	3077.84 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,P_HTHAB,LI	5908.47 	8336.85 	7979.05 	2948.91 	2977.38 	: 	2903.39 	2697.64 	2562.33 	2874.90 	2757.52 	: 	3313.80 	3111.00 	3543.81 	2858.08 
A,PER_PRSC,TOTAL,P_HTHAB,LT	517.65 	553.10 	581.64 	603.95 	675.28 	772.06 	772.62 	673.03 	609.72 	874.29 	752.18 	680.66 	641.39 	579.13 	575.30 	553.11 
A,PER_PRSC,TOTAL,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	2816.84 	2399.32 	1734.70 	1782.39 	1512.20 	1541.76 	1510.08 	1561.72 
A,PER_PRSC,TOTAL,P_HTHAB,LV	578.75 	569.99 	515.77 	621.32 	663.29 	612.55 	457.86 	506.52 	539.02 	501.77 	484.65 	490.01 	483.99 	465.40 	455.71 	469.57 
A,PER_PRSC,TOTAL,P_HTHAB,ME	1409.65 	1154.65 	902.74 	917.00 	895.36 	1247.40 	1189.50 	1117.67 	1178.69 	1259.18 	1388.59 	1391.55 	1629.59 	1617.27 	1483.12 	1496.20 
A,PER_PRSC,TOTAL,P_HTHAB,MK	1291.28 	1484.12 	1461.67 	1520.65 	1546.76 	1669.79 	1799.04 	: 	: 	1034.86 	: 	615.27 	689.41 	619.78 	702.30 	656.14 
A,PER_PRSC,TOTAL,P_HTHAB,MT	: 	448.74 	: 	380.01 	376.25 	688.95 	665.54 	613.39 	381.87 	502.07 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,P_HTHAB,NL	1537.28 	1373.97 	1257.44 	1368.61 	1332.02 	1229.64 	1237.65 	1112.08 	1097.74 	999.85 	968.25 	1067.09 	968.87 	919.24 	1019.76 	986.19 
A,PER_PRSC,TOTAL,P_HTHAB,NO	1476.79 	1394.38 	1403.50 	1355.59 	1316.80 	1320.38 	1272.07 	1244.05 	1237.83 	1098.85 	1046.41 	998.14 	930.55 	866.89 	830.43 	786.72 
A,PER_PRSC,TOTAL,P_HTHAB,PL	1456.33 	1460.88 	1446.01 	1473.75 	1401.35 	1329.20 	951.72 	851.48 	1025.13 	709.75 	708.33 	754.80 	686.98 	798.99 	655.81 	633.24 
A,PER_PRSC,TOTAL,P_HTHAB,PT	1337.10 	1185.84 	1174.50 	1140.71 	1145.08 	1055.39 	772.19 	872.08 	833.64 	758.11 	678.14 	656.45 	496.98 	612.54 	649.67 	590.79 
A,PER_PRSC,TOTAL,P_HTHAB,RO	218.42 	243.36 	265.35 	284.77 	297.27 	328.23 	252.37 	296.46 	738.09 	673.56 	682.69 	686.80 	622.03 	653.12 	655.68 	645.89 
A,PER_PRSC,TOTAL,P_HTHAB,RS	838.23 	869.41 	751.48 	757.62 	816.93 	813.52 	573.84 	1739.12 	1599.56 	1492.61 	1593.19 	1493.83 	1329.23 	1313.53 	1276.84 	1293.23 
A,PER_PRSC,TOTAL,P_HTHAB,SE	1061.36 	1090.55 	1085.98 	1042.87 	993.35 	919.52 	883.77 	862.46 	815.40 	827.04 	841.33 	849.72 	879.04 	840.10 	822.69 	840.21 
A,PER_PRSC,TOTAL,P_HTHAB,SI	750.15 	714.00 	717.16 	676.38 	634.35 	622.44 	596.72 	586.22 	551.69 	535.60 	428.47 	427.03 	422.98 	384.97 	362.71 	378.18 
A,PER_PRSC,TOTAL,P_HTHAB,SK	949.19 	992.36 	993.56 	964.50 	1001.05 	996.13 	955.20 	840.22 	749.67 	730.00 	656.76 	625.68 	583.85 	537.79 	550.41 	535.28 
A,PER_PRSC,TOTAL,P_HTHAB,TR	: 	4410.92 	4531.04 	4499.31 	4650.20 	3379.98 	3379.29 	3364.59 	3031.95 	3318.97 	3807.69 	5377.20 	4642.24 	5463.09 	5746.42 	5638.25 
A,PER_PRSC,TOTAL,P_HTHAB,UKC-L	2982.89 	3057.62 	2961.43 	2807.52 	2617.47 	2523.53 	2551.61 	2568.81 	2485.59 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,P_HTHAB,UKM	1352.42 	1271.69 	1200.77 	1176.08 	1074.39 	1049.39 	1062.57 	: 	: 	1759.17 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,P_HTHAB,UKN	: 	: 	2430.49 	2118.22 	2112.33 	2638.70 	1715.26 	1587.89 	1488.87 	1518.99 	1562.30 	: 	: 	: 	: 	: 
A,PER_PRSC,TOTAL,P_HTHAB,XK	: 	: 	1354.37 	2135.96 	: 	: 	: 	: 	1047.30 	2381.18 	2150.40 	1844.66 	: 	: 	: 	: 
A,PER_SUSP,FOR,NR,AL	: 	: 	: 	: 	: 	: 	: 	325 	486 	528 	615 	616 	606 	653 	589 	737 
A,PER_SUSP,FOR,NR,AT	65316 	69791 	69188 	76764 	80874 	85376 	89594 	92804 	105551 	105812 	115258 	122067 	109161 	104070 	128594 	150481 
A,PER_SUSP,FOR,NR,BA	: 	: 	3641 	: 	: 	0 	: 	82 	65 	: 	20 	499 	391 	342 	277 	288 
A,PER_SUSP,FOR,NR,BE	63397 	66596 	65993 	70722 	71801 	72392 	72651 	59350 	65392 	68898 	71527 	73596 	110359 	85358 	73400 	75629 
A,PER_SUSP,FOR,NR,BG	1384 	1297 	1741 	1505 	1943 	2850 	52536 	3196 	2273 	1737 	1514 	1350 	1407 	2027 	2394 	2473 
A,PER_SUSP,FOR,NR,CH	: 	65722 	62759 	63410 	68838 	70670 	65844 	67272 	68615 	66574 	68278 	68018 	62204 	62913 	69581 	77611 
A,PER_SUSP,FOR,NR,CZ	8572 	8362 	7377 	7473 	7513 	7470 	7382 	7260 	7552 	7708 	7817 	8122 	6367 	6434 	7897 	9345 
A,PER_SUSP,FOR,NR,DE	454069 	464480 	457022 	470968 	490559 	538449 	617392 	911864 	953744 	752310 	708380 	699261 	663199 	639127 	783876 	923269 
A,PER_SUSP,FOR,NR,DK	: 	: 	: 	: 	: 	: 	: 	13394 	13106 	12491 	12378 	12090 	10521 	10686 	12290 	11659 
A,PER_SUSP,FOR,NR,EL	64376 	60531 	53306 	56633 	37122 	30722 	34118 	39667 	33444 	38786 	46975 	44230 	35548 	33526 	38727 	50239 
A,PER_SUSP,FOR,NR,ES	110840 	122528 	116277 	130090 	123993 	116188 	103781 	104416 	102888 	104810 	113340 	123010 	130620 	144730 	171761 	196562 
A,PER_SUSP,FOR,NR,FI	: 	: 	: 	: 	: 	19615 	19482 	19382 	20095 	20769 	22817 	21846 	19482 	15350 	15503 	17321 
A,PER_SUSP,FOR,NR,FR	241145 	234235 	226675 	241305 	227991 	189635 	178172 	180875 	177365 	184522 	299246 	310574 	291703 	337350 	360607 	360027 
A,PER_SUSP,FOR,NR,HR	3025 	2862 	2647 	2719 	2322 	1000 	969 	1061 	1199 	1202 	1772 	1569 	1570 	2248 	2107 	3419 
A,PER_SUSP,FOR,NR,HU	5305 	5401 	5739 	6418 	6149 	5170 	5267 	5296 	6842 	4079 	3080 	4500 	8146 	5292 	6922 	8020 
A,PER_SUSP,FOR,NR,IS	: 	: 	: 	: 	: 	: 	857 	1027 	1187 	1590 	1980 	2200 	1735 	1745 	1946 	2397 
A,PER_SUSP,FOR,NR,IT	301960 	276021 	274364 	283164 	290903 	306746 	304870 	302111 	261242 	262200 	278353 	264543 	240663 	264864 	279010 	268780 
A,PER_SUSP,FOR,NR,LI	893 	996 	907 	942 	397 	: 	1095 	1109 	1070 	: 	: 	325 	334 	340 	370 	: 
A,PER_SUSP,FOR,NR,LT	249 	281 	289 	275 	421 	560 	600 	536 	516 	570 	578 	626 	570 	843 	1241 	1177 
A,PER_SUSP,FOR,NR,LU	10879 	13492 	11607 	14146 	15615 	16291 	18074 	17468 	17296 	15218 	16400 	18005 	19656 	20067 	22650 	: 
A,PER_SUSP,FOR,NR,LV	617 	637 	642 	18 	12 	674 	783 	947 	919 	633 	671 	623 	560 	697 	707 	1008 
A,PER_SUSP,FOR,NR,ME	922 	872 	766 	672 	611 	631 	603 	533 	474 	546 	631 	600 	725 	690 	559 	655 
A,PER_SUSP,FOR,NR,MT	400 	430 	509 	632 	731 	775 	903 	919 	1034 	1160 	1267 	1120 	1299 	1362 	1413 	1700 
A,PER_SUSP,FOR,NR,NL	: 	: 	: 	: 	: 	: 	48478 	45933 	43003 	38407 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,FOR,NR,NO	13505 	14376 	15231 	15841 	16864 	18554 	18848 	18061 	18030 	17043 	15942 	15779 	15331 	13780 	13334 	13312 
A,PER_SUSP,FOR,NR,PL	2141 	2034 	2319 	2242 	2152 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,FOR,NR,RO	1000 	860 	707 	671 	615 	526 	439 	625 	611 	510 	509 	556 	333 	372 	523 	827 
A,PER_SUSP,FOR,NR,RS	1667 	1619 	1908 	1687 	1403 	1269 	1464 	1452 	1614 	1867 	2013 	2062 	1931 	2530 	2819 	2521 
A,PER_SUSP,FOR,NR,SI	2391 	2514 	2861 	2767 	2832 	3012 	2967 	2464 	2421 	2584 	2842 	3304 	2921 	2995 	3004 	3588 
A,PER_SUSP,FOR,NR,SK	: 	: 	1079 	1152 	1258 	1132 	1164 	2184 	1277 	1427 	1542 	1525 	1108 	1217 	1566 	1685 
A,PER_SUSP,FOR,NR,TR	: 	7542 	7917 	10458 	10277 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,FOR,P_HTHAB,AL	: 	: 	: 	: 	: 	: 	: 	11.26 	16.90 	18.36 	21.43 	21.52 	21.29 	23.08 	21.08 	26.69 
A,PER_SUSP,FOR,P_HTHAB,AT	786.18 	837.32 	828.44 	916.57 	961.86 	1010.14 	1053.19 	1082.10 	1213.16 	1206.13 	1306.44 	1377.92 	1226.38 	1165.05 	1432.18 	1652.77 
A,PER_SUSP,FOR,P_HTHAB,BA	: 	: 	94.72 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,FOR,P_HTHAB,BE	594.34 	619.32 	608.80 	642.89 	647.16 	648.58 	649.78 	528.15 	578.12 	606.94 	627.51 	642.45 	957.77 	738.73 	631.80 	644.05 
A,PER_SUSP,FOR,P_HTHAB,BG	18.41 	17.37 	23.46 	20.42 	26.52 	39.12 	725.07 	44.38 	31.77 	24.46 	21.48 	19.29 	20.24 	29.31 	36.93 	38.35 
A,PER_SUSP,FOR,P_HTHAB,CH	: 	853.33 	806.07 	805.70 	865.38 	879.08 	808.93 	816.64 	823.99 	790.71 	804.77 	796.04 	722.80 	725.62 	796.23 	880.40 
A,PER_SUSP,FOR,P_HTHAB,CZ	82.87 	80.21 	70.51 	71.26 	71.52 	71.03 	70.22 	68.89 	71.56 	72.86 	73.68 	76.26 	59.54 	61.31 	75.09 	86.31 
A,PER_SUSP,FOR,P_HTHAB,DE	552.28 	566.42 	558.69 	587.08 	610.70 	668.68 	764.41 	1123.02 	1160.62 	911.65 	855.61 	842.29 	797.43 	768.60 	941.74 	1110.79 
A,PER_SUSP,FOR,P_HTHAB,DK	: 	: 	: 	: 	: 	: 	: 	236.66 	229.64 	217.28 	214.11 	208.23 	180.69 	182.98 	209.25 	196.52 
A,PER_SUSP,FOR,P_HTHAB,EL	575.70 	545.58 	479.40 	509.13 	334.84 	279.20 	312.24 	365.32 	310.13 	360.19 	437.34 	412.42 	331.65 	313.95 	370.25 	482.42 
A,PER_SUSP,FOR,P_HTHAB,ES	242.70 	264.99 	250.13 	278.76 	264.84 	248.65 	223.13 	224.79 	221.55 	225.26 	242.91 	262.07 	275.96 	305.35 	361.70 	408.78 
A,PER_SUSP,FOR,P_HTHAB,FI	: 	: 	: 	: 	: 	361.46 	357.38 	354.22 	366.21 	377.39 	413.87 	395.91 	352.60 	277.39 	279.42 	311.31 
A,PER_SUSP,FOR,P_HTHAB,FR	376.75 	364.00 	350.57 	371.36 	349.27 	289.08 	270.19 	272.16 	266.16 	276.19 	446.46 	462.32 	432.32 	498.09 	529.59 	527.30 
A,PER_SUSP,FOR,P_HTHAB,HR	70.15 	66.41 	61.52 	63.38 	54.30 	23.46 	22.82 	25.11 	28.61 	28.93 	43.16 	38.49 	38.69 	55.69 	54.55 	88.78 
A,PER_SUSP,FOR,P_HTHAB,HU	52.81 	53.84 	57.31 	64.27 	61.91 	52.18 	53.32 	53.74 	69.60 	41.63 	31.50 	46.05 	84.07 	54.83 	72.03 	83.54 
A,PER_SUSP,FOR,P_HTHAB,IS	: 	: 	: 	: 	: 	: 	263.15 	312.06 	356.96 	469.93 	568.23 	616.26 	476.47 	473.17 	517.21 	618.17 
A,PER_SUSP,FOR,P_HTHAB,IT	514.83 	467.83 	463.53 	476.99 	489.78 	513.94 	501.57 	496.93 	430.63 	432.75 	460.21 	442.26 	403.52 	447.13 	472.66 	455.58 
A,PER_SUSP,FOR,P_HTHAB,LI	2525.74 	2798.62 	2526.88 	2605.88 	1088.42 	: 	2949.18 	2967.94 	2844.08 	: 	: 	846.84 	862.00 	870.57 	941.28 	: 
A,PER_SUSP,FOR,P_HTHAB,LT	7.75 	8.83 	9.20 	9.01 	14.02 	18.84 	20.38 	18.35 	17.86 	20.01 	20.58 	22.40 	20.28 	29.99 	44.23 	41.19 
A,PER_SUSP,FOR,P_HTHAB,LU	2248.66 	2733.94 	2311.85 	2763.75 	2975.12 	3033.49 	3288.09 	3102.90 	3001.48 	2576.41 	2724.23 	2932.92 	3139.39 	3161.50 	3509.47 	: 
A,PER_SUSP,FOR,P_HTHAB,LV	28.15 	29.45 	30.28 	0.87 	0.59 	33.30 	39.12 	47.68 	46.67 	32.46 	34.69 	32.45 	29.36 	36.82 	37.69 	53.53 
A,PER_SUSP,FOR,P_HTHAB,ME	149.79 	141.29 	123.75 	108.41 	98.50 	101.63 	97.02 	85.68 	76.18 	87.73 	101.39 	96.43 	116.58 	111.16 	90.50 	106.21 
A,PER_SUSP,FOR,P_HTHAB,MT	98.08 	104.64 	122.94 	152.29 	175.07 	183.93 	210.28 	209.01 	229.57 	252.01 	266.34 	226.92 	252.30 	263.89 	271.64 	313.62 
A,PER_SUSP,FOR,P_HTHAB,NL	: 	: 	: 	: 	: 	: 	288.06 	271.78 	253.27 	224.85 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,FOR,P_HTHAB,NO	285.09 	299.55 	313.51 	321.95 	338.24 	367.31 	368.99 	349.58 	346.02 	324.12 	301.04 	296.14 	285.62 	255.59 	245.78 	242.52 
A,PER_SUSP,FOR,P_HTHAB,PL	5.62 	5.33 	6.10 	5.89 	5.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,FOR,P_HTHAB,RO	4.85 	4.21 	3.29 	3.13 	3.06 	2.63 	2.20 	3.15 	3.09 	2.60 	2.61 	2.86 	1.72 	1.94 	2.75 	4.34 
A,PER_SUSP,FOR,P_HTHAB,RS	22.63 	22.07 	26.11 	23.26 	19.44 	17.67 	20.48 	20.41 	22.81 	26.52 	28.75 	29.61 	27.88 	36.82 	41.47 	37.96 
A,PER_SUSP,FOR,P_HTHAB,SI	118.94 	123.70 	139.77 	134.96 	137.78 	146.30 	143.95 	119.45 	117.29 	125.08 	137.50 	158.78 	139.37 	142.01 	142.56 	169.49 
A,PER_SUSP,FOR,P_HTHAB,SK	: 	: 	20.02 	21.36 	23.28 	20.92 	21.49 	40.29 	23.53 	26.25 	28.33 	27.98 	20.30 	22.29 	28.81 	31.04 
A,PER_SUSP,FOR,P_HTHAB,TR	: 	10.55 	10.91 	14.19 	13.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_SUSP,NAT,NR,AL	: 	: 	: 	: 	: 	: 	: 	36787 	34188 	35523 	39034 	42429 	40350 	38675 	37609 	38752 
A,PER_SUSP,NAT,NR,AT	175238 	176587 	170766 	182264 	179049 	174774 	166221 	157776 	164609 	164818 	173156 	182355 	167183 	162891 	173909 	179488 
A,PER_SUSP,NAT,NR,BA	: 	: 	13338 	: 	: 	519 	: 	275 	292 	: 	562 	11830 	17856 	18741 	17899 	18297 
A,PER_SUSP,NAT,NR,BE	158135 	162587 	160099 	160718 	150961 	147650 	148574 	110078 	122484 	124616 	125730 	128903 	201931 	151166 	120991 	116081 
A,PER_SUSP,NAT,NR,BG	54120 	54103 	57465 	49772 	44128 	41741 	3337 	50207 	50781 	48785 	46935 	44869 	42947 	42324 	42852 	43996 
A,PER_SUSP,NAT,NR,CH	: 	67185 	59108 	56224 	56559 	56954 	53030 	54197 	53042 	53367 	54075 	54181 	54311 	52131 	50419 	49022 
A,PER_SUSP,NAT,NR,CZ	113481 	114873 	105100 	107502 	105513 	110126 	107010 	94337 	85541 	79235 	76799 	77606 	68635 	62938 	67259 	69618 
A,PER_SUSP,NAT,NR,DE	1700236 	1688580 	1603821 	1556275 	1528110 	1555711 	1532112 	1457172 	1407062 	1380566 	1342886 	1319950 	1306418 	1252876 	1309906 	1323498 
A,PER_SUSP,NAT,NR,DK	: 	: 	: 	: 	: 	: 	: 	21766 	21720 	21117 	21664 	23990 	25203 	24869 	24825 	22688 
A,PER_SUSP,NAT,NR,EL	151865 	136163 	118100 	74290 	83404 	68049 	66151 	70658 	78090 	76657 	77282 	78075 	77591 	84039 	106043 	112953 
A,PER_SUSP,NAT,NR,ES	195269 	211517 	206607 	247690 	245610 	251988 	246143 	273278 	262184 	267950 	275809 	283128 	283190 	306924 	334801 	358424 
A,PER_SUSP,NAT,NR,FI	: 	: 	: 	: 	: 	405266 	379471 	379095 	381857 	393722 	422277 	395504 	273648 	135802 	130039 	133085 
A,PER_SUSP,NAT,NR,FR	931248 	940602 	919640 	931242 	924168 	916387 	933710 	973606 	951647 	958877 	1412283 	1410257 	1303236 	1434097 	1442241 	1534947 
A,PER_SUSP,NAT,NR,HR	28715 	29569 	28605 	28210 	25131 	21350 	19050 	18722 	17749 	16671 	15627 	17106 	17396 	18408 	18797 	19681 
A,PER_SUSP,NAT,NR,HU	151045 	138459 	158121 	150318 	141410 	139936 	114279 	99848 	90309 	87348 	54863 	131339 	130473 	141112 	136902 	145043 
A,PER_SUSP,NAT,NR,IS	: 	: 	: 	: 	: 	: 	4788 	4352 	4141 	4251 	4338 	4227 	3972 	4129 	3875 	3913 
A,PER_SUSP,NAT,NR,IT	587833 	593109 	593478 	617706 	642992 	671336 	675975 	659838 	632447 	616432 	590951 	590114 	560709 	565938 	539609 	527864 
A,PER_SUSP,NAT,NR,LI	499 	544 	142 	437 	187 	: 	606 	598 	577 	: 	: 	164 	192 	156 	174 	: 
A,PER_SUSP,NAT,NR,LT	22867 	23716 	24096 	23965 	28615 	30162 	30052 	26289 	20578 	27168 	23497 	22818 	24313 	21223 	21114 	20680 
A,PER_SUSP,NAT,NR,LU	6942 	7983 	8593 	9370 	9806 	10584 	11376 	10968 	10481 	8693 	9357 	11031 	11934 	12286 	12010 	: 
A,PER_SUSP,NAT,NR,LV	25829 	26542 	24972 	24511 	24576 	21459 	21178 	22288 	14078 	13692 	12713 	12697 	12144 	11634 	11526 	11514 
A,PER_SUSP,NAT,NR,ME	5852 	5765 	5067 	4395 	3751 	4159 	3682 	3319 	3132 	3045 	3794 	3268 	5916 	4929 	3556 	3688 
A,PER_SUSP,NAT,NR,MT	3144 	3239 	3993 	4443 	4440 	4565 	4386 	4518 	4350 	4312 	4524 	4131 	4042 	4648 	4508 	4910 
