freq	iccs	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	P_HTHAB	ME	3.57 	1.62 	2.10 	3.07 	2.42 	1.45 	3.06 	2.73 	3.86 	1.77 	2.09 	3.38 	2.57 	2.26 	1.13 	0.81 
A	ICCS0101	P_HTHAB	MK	1.71 	1.71 	1.90 	1.31 	1.36 	0.97 	1.21 	1.01 	0.82 	1.21 		1.06 	0.48 	0.63 	0.98 	1.26 
A	ICCS0101	P_HTHAB	MT	1.47 	0.97 	0.97 	0.72 	2.39 	1.42 	1.41 	0.93 	1.11 	1.96 	1.26 	0.81 	1.17 	0.39 	1.54 	0.37 
A	ICCS0101	P_HTHAB	NL	0.91 	0.93 				0.88 	0.86 	0.71 	0.64 	0.92 	0.69 	0.72 	0.70 	0.72 	0.81 	0.70 
A	ICCS0101	P_HTHAB	NO	0.72 	0.60 	0.60 	2.26 	0.54 	0.93 	0.57 	0.46 	0.52 	0.53 	0.47 	0.53 	0.58 	0.54 	0.55 	0.73 
A	ICCS0101	P_HTHAB	PL	1.21 	1.29 	1.15 	1.18 	0.99 	0.78 	0.74 	0.76 	0.67 	0.73 	0.70 	0.54 	0.69 	0.70 	0.69 	0.80 
A	ICCS0101	P_HTHAB	PT	1.17 	1.23 	1.17 	1.08 	1.16 	1.37 	0.88 	0.96 	0.64 	0.74 	0.79 	0.71 	0.79 	0.80 	0.72 	0.70 
A	ICCS0101	P_HTHAB	RO	2.28 	1.94 	1.88 	1.56 	1.88 	1.68 	1.49 	1.46 	1.25 	1.30 	1.37 	1.31 	1.32 	0.99 	0.93 	0.73 
A	ICCS0101	P_HTHAB	RS	1.74 	1.85 	1.56 	1.57 	1.44 	1.84 	1.60 	1.35 	1.50 	1.12 	1.49 	1.15 	1.10 	1.06 	1.03 	1.17 
A	ICCS0101	P_HTHAB	SE	0.89 	1.00 	0.97 	0.86 	0.72 	0.91 	0.90 	1.15 	1.08 	1.13 	1.07 	1.09 	1.20 	1.09 	1.11 	1.15 
A	ICCS0101	P_HTHAB	SI	0.55 	0.64 	0.54 	0.83 	0.68 	0.58 	0.82 	0.97 	0.48 	0.92 	0.44 	0.67 	0.52 	0.43 	0.62 	0.61 
