freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS02-04	UKC-L			310936 	344766 	347064 	605797 	703107 	741954 	821270 	875665 	963395 	997607.0	997159.0	972283.0	885718 
A	NR	ICCS02-04	UKM	23085 	23382 	24360 	25178 	23656 	25725 	27321 	24981 	27085 	28183 	27423 	27400.0	26558.0	27618.0	25182 
A	NR	ICCS02-04	UKN	7507 	7693 	8368 	9110 	8251 	21452 	24163 	24330 	29745 	32360 	32669 	32448.0	34288.0	35101.0	32388 
A	NR	ICCS0401	AT					1991 	2234 	2283 	3034 	2824 	3638 	4434 	4798.0	4770.0	5095.0	5036 
A	NR	ICCS0401	BE								28188 	28755 	30288 	27986 	24240.0	23995.0	22820.0	21186 
A	NR	ICCS0401	BG			5737 	5623 	6481 	4494 	4044 	4266 	4069 	4665 	4933 	4131.0	3754.0	2875.0	2996 
A	NR	ICCS0401	CH	4980 	3812 	3315 	3776 	4093 	4273 	4289 	3752 	3822 	3968 	4344 	4749.0	3977.0	4088.0	4481 
A	NR	ICCS0401	CY	17 	14 	22 	15 	23 	29 	31 	39 	39 	36 	66 	100.0	73.0	66.0	69 
A	NR	ICCS0401	CZ	4109 	3826 	3978 	4281 	4751 	4306 	4817 	4644 	4321 	5434 	5443 	5931.0	5368.0	4613.0	4668 
A	NR	ICCS0401	DE				67578 	69569 	64405 	61420 	59414 	57108 	58867 	59782 	59732.0	54841.0	53696.0	52949 
A	NR	ICCS0401	DK	4610 	4171 	4112 	4368 	4861 	5008 	5539 	5915 	5872 	6033 	5884 	5733.0	5199.0	5048.0	5784 
A	NR	ICCS0401	EE					3478 	3978 	4918 	4754 	4475 		1885 	1632.0	1298.0	1005.0	887 
A	NR	ICCS0401	EL	1505 	1257 	1600 	1487 	1967 	2254 	2048 	1581 	1735 	1992 	2083 	2339.0	2084.0	2463.0	2823 
A	NR	ICCS0401	ES			87255 	99282 	104788 	105528 	101842 	94831 	106491 	104380 	92980 	88413.0	90104.0	90591.0	89884 
A	NR	ICCS0401	FI					2016 	2092 	2277 	2600 	2157 	2120 	2045 	2017.0	1814.0	1700.0	1784 
A	NR	ICCS0401	FR					80498 	84291 	94947 	109836 	134281 	133137 	125286 	119641.0	124600.0	127190.0	112885 
A	NR	ICCS0401	FX					80498 	84291 	94947 	109836 	134281 	133137 	125286 	119641.0	124600.0	127190.0	112885 
A	NR	ICCS0401	HR	644 	414 	464 	521 	593 	728 	667 	802 	801 	1204 	1236 	1622.0	1560.0	1445.0	1272 
A	NR	ICCS0401	HU	2881 	2570 	2657 	2689 	3056 	3056 	3167 	3494 	3319 	3389 	3289 	3227.0	2982.0	2709.0	3119 
A	NR	ICCS0401	IE								1397 	1744 	1688 	2894 	2702.0	2406.0	2475.0	2151 
A	NR	ICCS0401	IS								34 	39 	32 	39 	35.0	49.0	50.0	42 
A	NR	ICCS0401	IT	86306 	79145 	69535 	68571 	69993 	73289 	72836 	67424 	66671 	68248 	70625 	66643.0	65724.0	71762.0	74130 
A	NR	ICCS0401	LI				4 	7 	7 	7 	2 	1 	1 	3 	2.0	1.0	4.0	5 
A	NR	ICCS0401	LT	3723 	4217 	2837 	3481 	3971 	3646 	3376 	4374 	4185 	4535 	4919 	5323.0	5206.0	4343.0	3802 
A	NR	ICCS0401	LU	254 	291 	252 	260 	288 	372 	352 	307 	257 	367 	374 	339.0	351.0	263.0	331 
A	NR	ICCS0401	LV							2619 	3160 	3059 	2664 	2503 	2467.0	2163.0	2248.0	1468 
A	NR	ICCS0401	ME										4173 	3908 	4239.0	86.0	80.0	67 
A	NR	ICCS0401	MK								296 	266 	463 	573 	783.0	709.0	503.0	521 
A	NR	ICCS0401	MT						318 	212 	146 	160 	156 	195 	265.0	256.0	222.0	200 
A	NR	ICCS0401	NL	16341 	15928 	15747 	15156 	14186 	14498 	17685 	19004 	21174 	20647 	20018 	17683.0	16445.0	14485.0	13660 
A	NR	ICCS0401	NO	976 	951 	891 	947 	989 	1240 	1558 	1635 	1392 	1548 	1437 	1596.0	1448.0	1388.0	1464 
A	NR	ICCS0401	PL	17475 	19152 	20252 	20372 	23988 	26647 	36597 	43255 	41208 	40345 	44086 	41287.0	36347.0	29472.0	22766 
A	NR	ICCS0401	PT	11918 	14322 	14396 	12892 	13901 	12442 	16065 	17156 	18585 	19764 	19767 	21051.0	20183.0	20870.0	18427 
A	NR	ICCS0401	RO	4647 	4161 	4154 	3866 	4010 	3548 	3336 	3280 	3467 	3025 	2782 	3087.0	3326.0	4078.0	2496 
