freq	iccs	leg_stat	sex	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	ICCS0101	PER_CNV	T	NR	AT	26 	20 	39 	29 	39 	33 	35 	25 	32 	24 	44 	33 	39 	39 	28 	31 
A	ICCS0101	PER_CNV	T	NR	BA	115 	104 	111 	109 	108 	177 	101 	79 	92 	101 	98 	72 	78 	113 	86 	89 
A	ICCS0101	PER_CNV	T	NR	BE			213 	246 	294 	249 	229 	86 	95 	96 	97 	87 	52 			
A	ICCS0101	PER_CNV	T	NR	BG	143 	116 	126 	114 	107 	76 	74 	98 	82 	76 	72 	57 	39 	56 	44 	52 
A	ICCS0101	PER_CNV	T	NR	CH	40 	36 	48 	30 	41 	34 	35 	38 	33 	38 	36 	25 	22 	39 	26 	8 
A	ICCS0101	PER_CNV	T	NR	CY	4 	5 	13 	2 	9 	18 	6 	3 	6 	16 	2 	7 	17 	11 	9 	
A	ICCS0101	PER_CNV	T	NR	CZ	136 	111 	109 	131 	111 	125 	137 	114 	99 	82 	103 	76 	106 	104 	88 	93 
A	ICCS0101	PER_CNV	T	NR	DE		392 	380 	325 	355 	288 	320 	335 	320 	298 	297 	342 	310 	282 	283 	263 
A	ICCS0101	PER_CNV	T	NR	DK	22 	35 	54 	26 	34 	24 	25 	36 	20 	33 	32 	23 	40 	35 	33 	41 
A	ICCS0101	PER_CNV	T	NR	EE			53 	40 	59 	69 	32 	36 	36 	29 	28 	35 	28 	29 	29 	
A	ICCS0101	PER_CNV	T	NR	EL														242 	220 	149 
A	ICCS0101	PER_CNV	T	NR	ES					84 	95 	227 	245 	190 	194 	160 	203 	215 	187 	196 	214 
A	ICCS0101	PER_CNV	T	NR	FI	93 	73 	74 	82 	71 	67 	74 	55 	54 	48 	40 	54 	58 	54 	50 	47 
A	ICCS0101	PER_CNV	T	NR	FR	661 	624 	657 	511 	306 	298 	282 	293 	320 	314 	295 	323 	289 	325 	355 	277 
A	ICCS0101	PER_CNV	T	NR	HR	43 	49 	34 	46 	47 	52 	47 	31 	70 	63 	54 	75 	58 	66 	74 	77 
A	ICCS0101	PER_CNV	T	NR	HU	136 	163 	138 	110 	136 	121 	156 	75 	112 	91 	86 	87 	47 	47 	69 	55 
A	ICCS0101	PER_CNV	T	NR	IE			16 	20 	20 	18 	21 	21 								
A	ICCS0101	PER_CNV	T	NR	IS						1 		3 	1 				0 	3 	0 	2 
A	ICCS0101	PER_CNV	T	NR	IT	616 	596 	590 	451 	493 	535 	602 	517 	612 	590 	672 					
A	ICCS0101	PER_CNV	T	NR	LI			0 													
A	ICCS0101	PER_CNV	T	NR	LT	276 	213 	237 	217 	188 	173 	197 	130 	145 	148 	114 	95 	64 	77 	79 	49 
