freq	leg_stat	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	CRT_ACQT	P_HTHAB	UKC-L	82.79 	83.61 	87.65 	78.18 	72.20 	65.62 										
A	CRT_ACQT	P_HTHAB	UKM	187.76 	190.05 	191.19 	207.70 	196.71 	196.20 	190.24 									
A	CRT_ACQT	P_HTHAB	UKN	138.90 	144.44 	125.01 	133.74 	130.41 	124.38 	399.88 	454.60 								
A	CRT_ACQT	P_HTHAB	XK	17.70 	17.43 	13.63 	18.34 					35.90 	31.57 	30.36 					
A	PER_CNV	NR	AL	8009 	7670 	8510 	9754 	9562 	8577 	13618 	16141 	14614 	10911 	11614 	11052 	9853 	12603 	11422 	8856 
A	PER_CNV	NR	AT	38226 	37868 	38394 	36461 	35541 	34424 	32980 	32118 	30450 	30746 	27655 	27284 	23716 	23731 	24466 	25033 
A	PER_CNV	NR	BA	16951 	17707 	17294 	15709 	17846 	19015 	18442 	17471 	16592 	15036 	14447 	13616 	10702 	11356 	10770 	10702 
A	PER_CNV	NR	BE			140990 	142882 	163323 	141857 	117534 	132122 	43578 	238286 	229599 	202990 	159957 			
A	PER_CNV	NR	BG	36137 	40872 	39070 	41013 	37996 	34113 	31849 	27787 	28301 	25800 	23973 	23389 	21889 	24121 	24047 	23037 
A	PER_CNV	NR	CH	100048 	102526 	106935 	101903 	109123 	107099 	108877 	108819 	108393 	105156 	106185 	97170 	97170 	98912 	103444 	105916 
A	PER_CNV	NR	CY	63775 	62466 	75693 	86813 	71545 	60819 	68708 	54095 	45324 	43477 	39502 	39975 	35541 	33563 	36984 	
A	PER_CNV	NR	CZ	75882 	73787 	70651 	70160 	71471 	77976 	72825 	65569 	61423 	55705 	54448 	55594 	45558 	49647 	50227 	51399 
A	PER_CNV	NR	DE	874691 	844520 	813266 	807815 	773901 	755938 	748782 	739487 	737873 	716044 	712338 	728868 	699269 	662100 	647374 	656901 
A	PER_CNV	NR	DK	163095 	173255 	183599 	200452 	209632 	206214 	209388 	195172 	189750 	177935 	182804 	51439 	56280 	52837 	52678 	57224 
A	PER_CNV	NR	EE	11574 	7881 	9131 	9992 	9638 	8477 	7670 	7375 	7619 	6714 	5702 	5703 	4949 	4569 	3837 	
A	PER_CNV	NR	EL														5426 	4764 	4294 
A	PER_CNV	NR	ES	241743 	257148 	248313 	256391 	253715 	245820 	233875 	236843 	284454 	298979 	300301 	301043 	232675 	295805 	322650 	293344 
A	PER_CNV	NR	FI	237782 	206430 	206070 	202922 	191015 	182679 	173056 	181694 	156034 	82427 	82822 	82956 	80692 	80740 	77562 	78807 
A	PER_CNV	NR	FR	703695 	703853 	682489 	663417 	679219 	667579 	578482 	574475 	468583 	466980 	546279 	549552 	458259 	530201 	504379 	517857 
A	PER_CNV	NR	HR	25126 	26355 	25355 	24203 	21174 	17162 	15452 	12972 	13777 	12424 	12168 	13295 	11902 	12550 	12629 	11523 
A	PER_CNV	NR	HU	84457 	86901 	89343 	85110 	75291 	70326 	76317 	71738 	71686 	68735 	66681 	64043 	53850 	54936 	55407 	55676 
A	PER_CNV	NR	IE		3146 	3308 	3182 												
A	PER_CNV	NR	IT	260375 	252076 	254384 	266039 	259923 	246980 	226939 	220903 	198177 	194720 	215991 					
A	PER_CNV	NR	LT	12788 	13050 	13992 	13697 	16631 	19530 	20358 	17273 	15508 	18058 	19779 	17564 	16060 	15010 	14959 	14717 
A	PER_CNV	NR	LU									8433 	9546 	8205 	7582 	7504 	8032 	5954 	6576 
A	PER_CNV	NR	LV	10979 	10702 	9626 	9194 	8942 	8626 	9213 	9558 	8945 	9262 	8587 	8099 	7093 	6849 	4951 	4306 
A	PER_CNV	NR	ME			673 	1121 	1444 	3238 	3111 	2755 	3712 	3528 	3344 	3611 	3703 	3535 	3002 	2724 
A	PER_CNV	NR	MK	10218 	10549 	9716 	10532 	9598 	10012 	12144 			2769 		5016 	6701 	8016 	8031 	6835 
A	PER_CNV	NR	NL	115051 	114849 	98150 	93362 	87879 	92190 	88878 	91446 	81799 	82070 	78546 	76827 	59444 	62103 	62543 	66894 
A	PER_CNV	NR	NO	66503 	64165 	66983 	64681 	63428 	67048 	63859 	65196 	62343 	59724 	14910 	14733 	14253 	13502 	12819 	12707 
A	PER_CNV	NR	PL	447686 	440225 	455649 	446271 	429087 	372343 	311741 	272271 	300867 	251093 	285522 	296898 	261556 			
A	PER_CNV	NR	PT	87861 	78266 	77776 	77811 	79212 	71171 	52861 	59462 	56939 	51968 	46688 	45312 	35345 	42691 	45847 	42283 
A	PER_CNV	NR	RO	36795 	34226 	41891 	47577 	49188 	47133 	40832 	42276 	32720 	35396 	32204 	33683 	31483 	35317 	32907 	31439 
A	PER_CNV	NR	RS	44367 	42782 	23321 	33097 	33624 	34889 	37410 	35115 	34557 	33392 	31298 	29788 	26726 	28891 	27413 	28373 
