freq	leg_stat	sex	unit	geo	2022 	2023 
A	CIV_COM_LITIG	CRT_RESL	NR	LT	87018 	84043 
A	CIV_COM_LITIG	CRT_RESL	NR	LU	6689 	6287 
A	CIV_COM_LITIG	CRT_RESL	NR	LV	29759 	30173 
A	CIV_COM_LITIG	CRT_RESL	NR	MT	9118 	10141 
A	CIV_COM_LITIG	CRT_RESL	NR	NL	123994 	124533 
A	CIV_COM_LITIG	CRT_RESL	NR	PL	870959 	930609 
A	CIV_COM_LITIG	CRT_RESL	NR	PT	270366 	253653 
A	CIV_COM_LITIG	CRT_RESL	NR	RO	1282368 	1289204 
A	CIV_COM_LITIG	CRT_RESL	NR	SE	61807 	65517 
A	CIV_COM_LITIG	CRT_RESL	NR	SI	30007 	29001 
A	CIV_COM_LITIG	CRT_RESL	NR	SK	107486 	95363 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	AT	816.02 	864.31 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	BE	5897.37 	5699.87 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	BG		2043.55 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	CZ	3046.08 	3186.35 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	DE	1246.56 	1258.52 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	DK	741.58 	850.43 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	EE	1239.60 	1183.04 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	EL	1244.49 	1262.22 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	ES	2833.16 	2659.34 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	FI	145.74 	157.24 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	FR	2034.34 	2054.07 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	HR	3652.02 	2828.20 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	HU	1288.28 	1296.53 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	IE	1441.44 	1553.71 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	IT	2322.90 	2369.37 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	LT	3101.14 	2941.36 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	LU	1036.42 	951.41 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	LV	1586.51 	1602.38 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	MT	1750.19 	1870.86 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	NL	704.88 	699.18 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	PL	2313.04 	2532.01 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	PT	2611.72 	2411.92 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	RO	6734.26 	6765.86 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	SE	591.32 	622.69 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	SI	1424.04 	1369.93 
A	CIV_COM_LITIG	CRT_RESL	P_HTHAB	SK	1977.77 	1756.62 
A	CRIM	CRT_BGHT	NR	AT	68549 	72123 
A	CRIM	CRT_BGHT	NR	BE	214447 	194339 
A	CRIM	CRT_BGHT	NR	BG	124178 	131222 
A	CRIM	CRT_BGHT	NR	CY	81716 	71877 
A	CRIM	CRT_BGHT	NR	CZ	65299 	67941 
A	CRIM	CRT_BGHT	NR	DE	1083575 	1087237 
A	CRIM	CRT_BGHT	NR	DK	153429 	160955 
A	CRIM	CRT_BGHT	NR	EE	17512 	16289 
A	CRIM	CRT_BGHT	NR	EL	264496 	198751 
