freq,leg_case,leg_stat,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,ADM,CRT_BGHT,P_HTHAB,SE	1302.67 	1355.35 	1403.67 	1366.74 	1364.38 	1384.04 	1379.22 	1309.39 	1460.58 	1636.07 	1652.27 	1731.51 	1857.63 	1715.03 	1458.27 
A,ADM,CRT_BGHT,P_HTHAB,SI	213.85 	177.48 	163.12 	177.30 	154.42 	159.36 	159.62 	143.15 	143.98 	192.46 	171.27 	150.85 	138.03 	130.44 	128.99 
A,ADM,CRT_BGHT,P_HTHAB,SK	4.54 	4.40 	7.03 	5.08 	4.50 	3.77 	6.54 	3.36 	3.15 	92.65 	93.02 	101.37 	92.91 	100.19 	94.72 
A,ADM,CRT_BGHT,P_HTHAB,TR	: 	494.11 	585.42 	524.42 	511.10 	573.36 	568.15 	633.16 	785.27 	400.25 	374.24 	414.14 	396.24 	441.44 	454.06 
A,ADM,CRT_BGHT,P_HTHAB,UKC-L	1188.72 	1464.84 	1505.11 	1450.91 	1473.61 	1610.48 	655.30 	766.28 	821.97 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_BGHT,P_HTHAB,UKN	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 
A,ADM,CRT_BGHT,P_HTHAB,XK	65.11 	47.28 	56.34 	86.39 	: 	: 	: 	: 	125.08 	133.44 	167.25 	175.48 	: 	: 	: 
A,ADM,CRT_PEN,NR,AL	: 	: 	: 	: 	: 	1538 	3841 	3315 	3561 	3018 	3054 	4486 	5947 	5474 	: 
A,ADM,CRT_PEN,NR,BA	7625 	8982 	1107 	11599 	11614 	14746 	16440 	9400 	8081 	7353 	7801 	8134 	8316 	7724 	8871 
A,ADM,CRT_PEN,NR,BG	: 	: 	: 	8581 	10886 	8623 	8444 	8736 	7714 	9410 	9528 	10007 	9960 	9910 	9737 
A,ADM,CRT_PEN,NR,CH	4584 	14190 	13267 	16911 	15190 	: 	: 	: 	4521 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_PEN,NR,CZ	: 	: 	: 	8811 	8964 	8601 	9062 	9148 	10101 	10670 	12090 	11333 	9784 	8023 	5998 
A,ADM,CRT_PEN,NR,DE	115828 	111606 	111073 	106400 	105768 	110953 	125197 	122532 	189173 	338078 	316576 	278942 	243052 	225162 	202833 
A,ADM,CRT_PEN,NR,EE	: 	: 	1329 	732 	1026 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,ADM,CRT_PEN,NR,EL	: 	: 	: 	: 	: 	345199 	308863 	263729 	237791 	199193 	162490 	139592 	110933 	98902 	84827 
A,ADM,CRT_PEN,NR,ES	313445 	332458 	326948 	335512 	285005 	226273 	203931 	176418 	157415 	152029 	155712 	170476 	171471 	175384 	180258 
A,ADM,CRT_PEN,NR,FI	11231 	12280 	12536 	11760 	11487 	11870 	13962 	13962 	17886 	16251 	13632 	13541 	14531 	18305 	17084 
A,ADM,CRT_PEN,NR,FR	: 	: 	: 	176057 	164241 	156224 	163461 	167378 	: 	: 	: 	: 	: 	: 	: 
