freq,leg_case,leg_stat,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,CIV_COM,CRT_PEN,P_HTHAB,EL	: 	: 	: 	: 	: 	2534.74 	2259.02 	2435.84 	2251.43 	2346.91 	2626.79 	2877.06 	2741.06 	3024.07 	3173.07 
A,CIV_COM,CRT_PEN,P_HTHAB,ES	2154.80 	2639.78 	2741.61 	2378.07 	2251.74 	1999.23 	1956.88 	2008.35 	1872.10 	2739.53 	3136.47 	3420.09 	3888.70 	3785.93 	4029.64 
A,CIV_COM,CRT_PEN,P_HTHAB,FI	1027.76 	1360.32 	1258.08 	1268.07 	1687.05 	1342.15 	1949.45 	2048.90 	2061.28 	2421.89 	1929.41 	2442.42 	2044.45 	1851.97 	1987.66 
A,CIV_COM,CRT_PEN,P_HTHAB,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	2310.23 	2328.67 	2312.99 	1878.65 	1893.31 	1853.87 
A,CIV_COM,CRT_PEN,P_HTHAB,HR	4588.97 	4456.31 	8226.86 	8879.92 	8270.03 	7907.04 	7098.60 	6725.37 	6158.47 	5831.00 	4926.50 	6572.71 	6353.49 	7071.58 	6161.94 
A,CIV_COM,CRT_PEN,P_HTHAB,HU	892.57 	935.76 	905.03 	839.65 	789.18 	875.56 	797.86 	828.10 	867.79 	919.28 	697.84 	638.16 	645.66 	581.42 	535.36 
A,CIV_COM,CRT_PEN,P_HTHAB,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	312.64 	291.83 
A,CIV_COM,CRT_PEN,P_HTHAB,IT	8487.94 	9061.87 	8480.51 	8516.46 	8017.66 	7541.26 	7135.25 	6633.19 	6482.45 	6263.94 	5992.65 	5891.31 	5872.50 	5640.54 	5392.60 
A,CIV_COM,CRT_PEN,P_HTHAB,LI	: 	486.11 	576.70 	594.76 	759.42 	762.80 	759.51 	837.66 	725.64 	859.56 	805.48 	627.96 	619.40 	570.99 	: 
A,CIV_COM,CRT_PEN,P_HTHAB,LT	845.79 	1083.81 	976.11 	940.68 	924.18 	1004.31 	1079.10 	994.02 	1021.79 	968.19 	833.49 	767.67 	748.58 	705.59 	740.73 
A,CIV_COM,CRT_PEN,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	201.97 	: 	221.11 	208.64 	596.85 	664.74 	661.07 	673.07 
A,CIV_COM,CRT_PEN,P_HTHAB,LV	1697.23 	1686.77 	1956.66 	2008.00 	1658.64 	1485.70 	1515.39 	719.60 	827.75 	923.95 	1215.07 	1169.19 	1372.72 	1337.67 	1491.29 
A,CIV_COM,CRT_PEN,P_HTHAB,ME	1909.37 	1853.01 	2252.02 	2247.16 	2160.22 	2174.29 	3017.92 	3603.29 	3648.88 	3507.79 	3260.66 	3270.59 	2946.10 	3255.64 	3752.57 
A,CIV_COM,CRT_PEN,P_HTHAB,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	1099.72 	1065.80 	1093.69 	1350.08 	1748.30 	2462.33 
A,CIV_COM,CRT_PEN,P_HTHAB,PL	2863.71 	2599.08 	2603.98 	3144.62 	2974.62 	4184.27 	3636.54 	3858.99 	5961.69 	5808.07 	6014.39 	9350.67 	8202.01 	7783.49 	7109.42 
A,CIV_COM,CRT_PEN,P_HTHAB,PT	3438.69 	3456.49 	3383.58 	3302.27 	3363.57 	3259.10 	3508.80 	3007.92 	2626.99 	2237.16 	1966.44 	1801.21 	1844.20 	1785.88 	1702.62 
A,CIV_COM,CRT_PEN,P_HTHAB,RO	1325.40 	1618.92 	1823.13 	1693.63 	1868.87 	1908.11 	2960.81 	2169.59 	2091.91 	2109.74 	2052.75 	2078.67 	2216.36 	2215.88 	2423.42 
A,CIV_COM,CRT_PEN,P_HTHAB,RS	: 	: 	: 	: 	: 	32322.81 	31653.79 	30345.78 	18246.89 	16327.52 	14104.96 	13298.45 	10594.26 	5435.38 	5989.36 
A,CIV_COM,CRT_PEN,P_HTHAB,SE	394.32 	430.76 	437.59 	419.97 	433.79 	531.50 	491.45 	447.00 	440.79 	446.71 	466.47 	486.45 	454.28 	418.75 	405.70 
A,CIV_COM,CRT_PEN,P_HTHAB,SI	19911.71 	18226.38 	14918.49 	13952.62 	11818.80 	10887.40 	10023.75 	7478.55 	5642.80 	4459.52 	3714.10 	3332.20 	3183.37 	3071.92 	2915.70 
A,CIV_COM,CRT_PEN,P_HTHAB,SK	3717.18 	3531.86 	3466.58 	3532.87 	4188.13 	4697.89 	4908.23 	5818.18 	4339.39 	2691.73 	1915.92 	1691.80 	1634.35 	1528.25 	1409.42 
A,CIV_COM,CRT_PEN,P_HTHAB,TR	: 	1437.06 	1523.44 	1498.97 	1458.90 	1534.21 	1612.19 	1701.44 	1973.46 	2016.19 	2043.13 	2027.61 	2149.14 	2123.82 	2300.49 
A,CIV_COM,CRT_PEN,P_HTHAB,XK	61.72 	33.02 	30.80 	32.16 	: 	: 	: 	: 	66.15 	63.02 	60.38 	66.99 	: 	: 	: 
A,CIV_COM,CRT_RESL,NR,AL	: 	: 	: 	: 	: 	31238 	49970 	41025 	41602 	46280 	40447 	40628 	22322 	34149 	: 
A,CIV_COM,CRT_RESL,NR,AT	: 	: 	: 	: 	: 	564551 	540926 	516981 	493849 	482192 	496103 	489263 	424037 	411961 	414621 
A,CIV_COM,CRT_RESL,NR,BA	52167 	91599 	115860 	110501 	107546 	102643 	108036 	97717 	92059 	84117 	75984 	70369 	57056 	65359 	64769 
A,CIV_COM,CRT_RESL,NR,BE	: 	: 	775448 	773973 	758214 	767912 	751904 	786015 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_RESL,NR,BG	: 	: 	: 	386569 	361380 	327950 	300799 	315519 	309939 	357257 	338871 	339534 	285461 	324138 	295171 
A,CIV_COM,CRT_RESL,NR,CH	93561 	: 	199479 	: 	308570 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_RESL,NR,CZ	: 	: 	: 	2902578 	2760956 	2416583 	2338284 	914836 	883168 	845792 	798055 	798586 	756938 	771168 	792078 
A,CIV_COM,CRT_RESL,NR,DE	1817698 	1621822 	1866061 	1898194 	1840666 	1807536 	1756145 	1777104 	1672849 	1539889 	1487637 	1495102 	1407964 	1342683 	1244797 
A,CIV_COM,CRT_RESL,NR,DK	63032 	68977 	69322 	65877 	54952 	51261 	47485 	45773 	46011 	45833 	43574 	49674 	48390 	41587 	43111 
A,CIV_COM,CRT_RESL,NR,EE	: 	28419 	31784 	31349 	28389 	29301 	28094 	31158 	30048 	30068 	29134 	31114 	33286 	33952 	34460 
A,CIV_COM,CRT_RESL,NR,EL	: 	: 	: 	: 	: 	257947 	273408 	234704 	145221 	192482 	184131 	177813 	190323 	179014 	196620 
A,CIV_COM,CRT_RESL,NR,ES	1270563 	1530782 	1686322 	1676501 	1625378 	1517458 	1655266 	1661327 	1878998 	1830518 	1963271 	2174972 	1945175 	2535490 	2533121 
A,CIV_COM,CRT_RESL,NR,FI	273748 	350541 	360658 	393511 	468976 	491727 	423057 	408848 	422309 	448391 	502266 	502266 	467306 	478797 	429595 
A,CIV_COM,CRT_RESL,NR,FR	: 	: 	: 	2411562 	2392637 	2446191 	2362187 	2420514 	2630085 	2609394 	2279484 	1624401 	1198532 	1806898 	1650212 
A,CIV_COM,CRT_RESL,NR,HR	141722 	140443 	604295 	614039 	626414 	593738 	522243 	457119 	486030 	446991 	411344 	402942 	393165 	405285 	434006 
A,CIV_COM,CRT_RESL,NR,HU	194112 	193462 	207551 	200826 	178456 	243473 	254551 	242154 	258405 	239728 	222125 	206303 	189163 	199771 	206441 
A,CIV_COM,CRT_RESL,NR,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5557 	4372 	3951 
A,CIV_COM,CRT_RESL,NR,IT	4402552 	4569764 	4556039 	4322232 	4331317 	4101306 	2135362 	3945471 	3794564 	3548523 	3613343 	3545785 	2733998 	3228262 	3240634 
A,CIV_COM,CRT_RESL,NR,LI	: 	424 	333 	423 	418 	551 	446 	446 	535 	577 	426 	482 	363 	378 	: 
A,CIV_COM,CRT_RESL,NR,LT	180071 	229221 	205423 	186472 	181877 	183062 	196723 	208852 	206021 	196439 	175052 	161617 	151181 	146109 	148591 
A,CIV_COM,CRT_RESL,NR,LU	: 	: 	: 	: 	: 	: 	5954 	5904 	: 	4434 	4857 	12126 	11746 	11970 	10684 
A,CIV_COM,CRT_RESL,NR,LV	85921 	135777 	119895 	88253 	52278 	47051 	44842 	42728 	42160 	34100 	70801 	72059 	83807 	105205 	113862 
A,CIV_COM,CRT_RESL,NR,ME	16273 	18457 	18530 	19538 	18211 	20074 	23528 	32832 	31757 	34584 	31482 	30386 	25548 	24678 	24574 
A,CIV_COM,CRT_RESL,NR,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	2305 	3782 	4591 	3832 	4575 	7647 
A,CIV_COM,CRT_RESL,NR,NL	: 	: 	1160500 	1120900 	1072100 	1049000 	1084400 	1107700 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_RESL,NR,PL	6906175 	7597863 	8460270 	9005743 	9600997 	9945787 	9990289 	10410421 	9854829 	11553606 	10796915 	12380461 	11084680 	10563790 	10939018 
A,CIV_COM,CRT_RESL,NR,PT	312007 	358113 	320115 	337248 	363520 	339579 	654447 	370623 	349325 	342161 	325407 	340514 	249757 	266769 	270366 
A,CIV_COM,CRT_RESL,NR,RO	692489 	716240 	800010 	814692 	749210 	704406 	1449285 	1246999 	1197194 	1110679 	1108454 	1140469 	999557 	1064096 	1112318 
A,CIV_COM,CRT_RESL,NR,RS	: 	: 	: 	: 	: 	1035519 	846714 	1013230 	1760254 	1188072 	1102919 	1069910 	1012179 	1245210 	955811 
A,CIV_COM,CRT_RESL,NR,SE	71785 	76678 	84650 	84046 	86517 	100731 	99911 	95227 	90113 	91883 	93848 	98553 	98200 	96720 	90947 
A,CIV_COM,CRT_RESL,NR,SI	535987 	613702 	581349 	578290 	650366 	585405 	576957 	557835 	520637 	481230 	451221 	446114 	385143 	448192 	425351 
A,CIV_COM,CRT_RESL,NR,SK	259090 	262364 	257097 	245543 	264789 	258612 	259958 	336660 	319005 	304706 	257498 	249503 	240116 	229588 	228101 
A,CIV_COM,CRT_RESL,NR,TR	: 	1719228 	1799427 	1858979 	1707410 	1868090 	2057056 	1868090 	2057056 	1984974 	2050198 	2124441 	1843550 	2555842 	2688342 
A,CIV_COM,CRT_RESL,NR,UKM	114502 	107998 	90691 	80602 	72186 	69012 	69387 	69355 	: 	65228 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_RESL,NR,UKN	42030 	40836 	43945 	45232 	45720 	41539 	41217 	37961 	36287 	34251 	33751 	: 	: 	: 	: 
A,CIV_COM,CRT_RESL,NR,XK	743 	851 	848 	704 	958 	431 	435 	356 	621 	689 	697 	715 	: 	: 	: 
A,CIV_COM,CRT_RESL,P_HTHAB,AL	: 	: 	: 	: 	: 	: 	1725.52 	1421.62 	1446.73 	1608.85 	1409.14 	1419.35 	784.34 	1206.79 	: 
A,CIV_COM,CRT_RESL,P_HTHAB,AT	: 	: 	: 	: 	: 	6679.61 	6358.68 	6028.05 	5682.91 	5496.40 	5623.31 	5522.92 	4763.89 	4611.85 	4617.71 
A,CIV_COM,CRT_RESL,P_HTHAB,BA	1357.16 	2382.91 	3014.01 	2875.25 	2801.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_RESL,P_HTHAB,BE	: 	: 	7153.64 	7035.71 	6833.93 	6879.92 	6724.93 	6994.71 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_RESL,P_HTHAB,BG	: 	: 	: 	5245.57 	4932.02 	4501.99 	4151.43 	4380.87 	4332.52 	5030.47 	4806.66 	4850.46 	4106.48 	4686.41 	4316.04 
A,CIV_COM,CRT_RESL,P_HTHAB,CH	1232.12 	: 	2562.09 	: 	3879.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_RESL,P_HTHAB,CZ	: 	: 	: 	27678.58 	26281.19 	22979.79 	22243.06 	8681.08 	8368.21 	7995.15 	7521.69 	7498.60 	7078.20 	7205.98 	7531.62 
A,CIV_COM,CRT_RESL,P_HTHAB,DE	2210.83 	1977.77 	2281.19 	2366.17 	2291.44 	2244.72 	2174.32 	2188.62 	2035.70 	1866.04 	1796.83 	1800.91 	1692.94 	1614.67 	1495.48 
A,CIV_COM,CRT_RESL,P_HTHAB,DK	1151.10 	1251.52 	1252.49 	1184.70 	984.71 	914.95 	843.84 	808.75 	806.18 	797.27 	753.72 	855.55 	831.05 	712.10 	734.00 
A,CIV_COM,CRT_RESL,P_HTHAB,EE	: 	2127.58 	2383.88 	2357.67 	2142.22 	2219.48 	2135.10 	2369.66 	2283.38 	2285.44 	2208.57 	2348.55 	2504.64 	2552.65 	2587.48 
A,CIV_COM,CRT_RESL,P_HTHAB,EL	: 	: 	: 	: 	: 	2344.20 	2502.18 	2161.57 	1346.67 	1787.51 	1714.26 	1657.99 	1775.64 	1676.38 	1879.77 
A,CIV_COM,CRT_RESL,P_HTHAB,ES	2782.12 	3310.57 	3627.54 	3592.46 	3471.68 	3247.44 	3558.78 	3576.63 	4046.07 	3934.23 	4207.75 	4633.81 	4109.59 	5349.28 	5340.43 
A,CIV_COM,CRT_RESL,P_HTHAB,FI	5164.58 	6581.31 	6739.47 	7320.76 	8682.70 	9061.30 	7760.71 	7471.97 	7696.11 	8147.68 	9110.36 	9102.45 	8457.58 	8652.24 	7742.90 
A,CIV_COM,CRT_RESL,P_HTHAB,FR	: 	: 	: 	3711.31 	3665.36 	3728.93 	3582.21 	3640.52 	3946.80 	3905.70 	3400.88 	2418.07 	1780.34 	2670.69 	2431.36 
A,CIV_COM,CRT_RESL,P_HTHAB,HR	3286.71 	3258.69 	14044.07 	14313.74 	14649.59 	13930.51 	12297.30 	10818.58 	11597.91 	10759.94 	10019.36 	9885.12 	9688.25 	10040.87 	11236.97 
A,CIV_COM,CRT_RESL,P_HTHAB,HU	1932.35 	1928.65 	2072.54 	2011.13 	1796.79 	2457.14 	2577.11 	2457.03 	2628.61 	2446.81 	2271.60 	2111.00 	1936.26 	2052.98 	2130.67 
A,CIV_COM,CRT_RESL,P_HTHAB,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1526.09 	1185.49 	1050.11 
A,CIV_COM,CRT_RESL,P_HTHAB,IT	7506.11 	7745.29 	7697.29 	7280.81 	7292.49 	6871.56 	3513.11 	6489.73 	6254.89 	5856.67 	5974.05 	5927.75 	4584.05 	5449.81 	5489.80 
A,CIV_COM,CRT_RESL,P_HTHAB,LI	: 	1191.38 	927.73 	1170.16 	1145.99 	1495.74 	1201.22 	1193.60 	1422.04 	1526.05 	1117.70 	1255.93 	936.85 	967.87 	: 
A,CIV_COM,CRT_RESL,P_HTHAB,LT	5605.14 	7199.48 	6538.02 	6108.65 	6055.22 	6159.75 	6683.37 	7149.38 	7132.31 	6897.67 	6232.05 	5784.05 	5410.74 	5226.24 	5295.48 
A,CIV_COM,CRT_RESL,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	1083.18 	1048.75 	: 	750.68 	806.80 	1975.26 	1876.03 	1885.84 	1655.42 
A,CIV_COM,CRT_RESL,P_HTHAB,LV	3920.09 	6277.74 	5654.08 	4253.97 	2556.62 	2324.86 	2240.46 	2151.36 	2141.24 	1748.61 	3660.14 	3753.14 	4393.15 	5556.93 	6070.19 
A,CIV_COM,CRT_RESL,P_HTHAB,ME	2643.68 	2990.65 	2993.53 	3152.05 	2935.80 	3233.09 	3785.55 	5277.62 	5103.84 	5556.67 	5058.50 	4883.78 	4108.23 	3975.58 	3978.42 
A,CIV_COM,CRT_RESL,P_HTHAB,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	500.76 	795.04 	930.18 	744.71 	886.46 	1467.84 
A,CIV_COM,CRT_RESL,P_HTHAB,NL	: 	: 	7001.51 	6729.79 	6408.12 	6251.65 	6443.53 	6554.16 	: 	: 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_RESL,P_HTHAB,PL	18119.01 	19923.14 	22250.48 	23660.27 	25223.44 	26130.12 	26277.89 	27391.80 	25956.16 	30425.87 	28430.38 	32603.49 	29202.38 	27916.99 	29051.22 
A,CIV_COM,CRT_RESL,P_HTHAB,PT	2956.47 	3390.25 	3027.53 	3189.79 	3448.17 	3238.01 	6276.28 	3572.33 	3377.95 	3318.87 	3162.05 	3313.48 	2425.79 	2590.43 	2611.72 
A,CIV_COM,CRT_RESL,P_HTHAB,RO	3355.82 	3504.06 	3727.53 	3804.52 	3728.16 	3518.50 	7265.57 	6275.58 	6058.58 	5653.94 	5675.46 	5874.33 	5171.32 	5541.69 	5841.25 
A,CIV_COM,CRT_RESL,P_HTHAB,RS	: 	: 	: 	: 	: 	14419.25 	11847.52 	14241.97 	24875.09 	16875.37 	15752.74 	15363.96 	14612.71 	18121.25 	14062.03 
A,CIV_COM,CRT_RESL,P_HTHAB,SE	781.72 	828.38 	906.25 	892.63 	912.35 	1054.12 	1035.90 	976.95 	914.76 	919.28 	927.33 	963.36 	950.85 	931.86 	870.11 
A,CIV_COM,CRT_RESL,P_HTHAB,SI	26662.45 	30196.49 	28400.38 	28206.16 	31640.34 	28433.99 	27992.88 	27041.64 	25222.36 	23294.02 	21831.02 	21438.43 	18376.36 	21251.63 	20185.79 
A,CIV_COM,CRT_RESL,P_HTHAB,SK	4819.33 	4874.48 	4769.53 	4553.46 	4899.58 	4779.52 	4799.86 	6209.89 	5878.92 	5606.01 	4730.71 	4577.68 	4399.44 	4205.08 	4197.11 
A,CIV_COM,CRT_RESL,P_HTHAB,TR	: 	2403.94 	2479.87 	2521.57 	2284.95 	2470.12 	2683.07 	2404.36 	2612.43 	2486.97 	2537.04 	2590.66 	2217.00 	3056.70 	3174.70 
A,CIV_COM,CRT_RESL,P_HTHAB,UKM	2207.92 	2070.15 	1728.58 	1526.38 	1360.39 	1297.19 	1300.00 	1294.78 	: 	1204.64 	: 	: 	: 	: 	: 
A,CIV_COM,CRT_RESL,P_HTHAB,UKN	2374.09 	2286.21 	2442.72 	2499.64 	2513.56 	2274.05 	2243.34 	2055.17 	1954.02 	1834.90 	1799.14 	: 	: 	: 	: 
A,CIV_COM,CRT_RESL,P_HTHAB,XK	34.51 	39.02 	38.40 	39.24 	: 	: 	: 	: 	35.05 	38.63 	38.75 	39.82 	: 	: 	: 
A,CRIM,CRT_BGHT,NR,AL	: 	: 	: 	: 	: 	11150 	14234 	27149 	17219 	15090 	16883 	17270 	16922 	14945 	: 
A,CRIM,CRT_BGHT,NR,AT	59812 	62000 	60726 	57862 	57668 	56110 	54588 	54172 	53104 	52320 	51160 	52554 	46419 	43153 	47499 
A,CRIM,CRT_BGHT,NR,BA	23575 	35904 	48744 	56092 	62220 	65371 	62823 	55474 	54216 	53108 	51872 	49983 	43524 	48992 	48893 
A,CRIM,CRT_BGHT,NR,BE	: 	: 	329910 	330911 	309227 	303226 	298935 	286810 	: 	268434 	258500 	229645 	191132 	241447 	223845 
A,CRIM,CRT_BGHT,NR,BG	: 	: 	: 	155030 	148167 	142261 	135589 	145555 	157079 	155039 	150324 	142755 	128853 	169591 	147256 
A,CRIM,CRT_BGHT,NR,CH	79166 	: 	195818 	: 	57573 	: 	: 	: 	33794 	: 	: 	: 	: 	: 	: 
A,CRIM,CRT_BGHT,NR,CZ	: 	: 	: 	155144 	152880 	165561 	151426 	87674 	81641 	76475 	74115 	73115 	65131 	62238 	65299 
A,CRIM,CRT_BGHT,NR,DE	826559 	803465 	776447 	770532 	727112 	700679 	679438 	664867 	670036 	657774 	659932 	661044 	625780 	566305 	560364 
A,CRIM,CRT_BGHT,NR,DK	106720 	116683 	114124 	117650 	152157 	126638 	132917 	148951 	141728 	135035 	167564 	160688 	162899 	139350 	153429 
A,CRIM,CRT_BGHT,NR,EE	11929 	10341 	9473 	9848 	9129 	8418 	7699 	7540 	7628 	6724 	5876 	5666 	5210 	4764 	3877 
A,CRIM,CRT_BGHT,NR,EL	: 	: 	: 	: 	: 	: 	: 	164754 	222036 	184350 	214663 	196798 	106457 	102186 	264496 
A,CRIM,CRT_BGHT,NR,ES	5760355 	5815477 	1308871 	1306902 	1306258 	348921 	332606 	293569 	302929 	289859 	287852 	298940 	248714 	309737 	326349 
A,CRIM,CRT_BGHT,NR,FI	65267 	60831 	61572 	59732 	60472 	55428 	54409 	53219 	51645 	53395 	58716 	54359 	56932 	56753 	51566 
A,CRIM,CRT_BGHT,NR,FR	: 	: 	: 	1003668 	1013050 	1031658 	1002289 	1005756 	4992686 	4765672 	4687990 	4496208 	4124168 	4306541 	4370413 
A,CRIM,CRT_BGHT,NR,HR	33114 	46627 	44819 	26547 	21978 	19312 	17666 	18257 	17992 	16830 	17113 	17596 	17944 	18640 	17707 
A,CRIM,CRT_BGHT,NR,HU	78491 	75429 	82260 	79938 	72569 	141887 	141977 	141514 	136403 	127853 	115730 	113333 	125130 	130909 	131595 
A,CRIM,CRT_BGHT,NR,IS	: 	: 	: 	: 	: 	: 	: 	: 	1914 	1753 	1858 	: 	1972 	1447 	1474 
A,CRIM,CRT_BGHT,NR,IT	: 	1612608 	1653571 	1593472 	1577944 	1577463 	1518873 	1499291 	1484199 	1348398 	1331892 	1291316 	1071254 	1158120 	1138283 
A,CRIM,CRT_BGHT,NR,LI	: 	28 	26 	31 	15 	27 	46 	22 	27 	24 	26 	32 	31 	35 	: 
A,CRIM,CRT_BGHT,NR,LT	16472 	17534 	18014 	18128 	20273 	20698 	21146 	18358 	16774 	20178 	19746 	18111 	17725 	15516 	15413 
A,CRIM,CRT_BGHT,NR,LU	: 	: 	: 	: 	: 	: 	: 	5335 	4973 	4134 	4500 	: 	: 	: 	: 
A,CRIM,CRT_BGHT,NR,LV	12280 	11700 	9958 	9592 	9610 	9132 	9133 	10476 	10407 	9394 	9164 	8741 	8271 	6345 	4557 
A,CRIM,CRT_BGHT,NR,ME	8817 	8691 	6856 	6002 	6277 	5091 	4820 	4093 	3849 	3765 	3781 	3619 	4237 	3907 	3543 
A,CRIM,CRT_BGHT,NR,MT	: 	: 	: 	: 	: 	: 	1412 	1179 	1027 	1718 	1410 	1070 	1778 	1519 	1320 
A,CRIM,CRT_BGHT,NR,PL	2304825 	2431620 	2537159 	2412893 	2452570 	2610007 	2599496 	2561991 	2354780 	2269110 	2134568 	2074734 	1862695 	2027328 	2027558 
A,CRIM,CRT_BGHT,NR,PT	114960 	112222 	107025 	106853 	104451 	91210 	132336 	73652 	71674 	62839 	61815 	64242 	51656 	59272 	62101 
A,CRIM,CRT_BGHT,NR,RO	171119 	167770 	171480 	181995 	194500 	226626 	247142 	232750 	349292 	381927 	383576 	379893 	341840 	358589 	366408 
A,CRIM,CRT_BGHT,NR,RS	: 	: 	: 	: 	: 	155601 	131790 	141013 	143471 	164191 	225285 	271718 	321469 	221741 	197424 
A,CRIM,CRT_BGHT,NR,SE	83037 	87476 	92415 	90929 	89823 	85543 	83699 	82844 	83863 	90492 	97472 	104300 	119941 	122423 	122018 
A,CRIM,CRT_BGHT,NR,SI	15910 	15175 	14388 	13505 	12690 	12302 	12785 	11020 	10374 	9833 	9466 	9324 	9222 	8613 	8420 
A,CRIM,CRT_BGHT,NR,SK	37307 	40726 	40990 	39773 	43940 	43344 	41468 	37544 	35255 	72163 	72209 	70891 	66868 	63773 	66374 
A,CRIM,CRT_BGHT,NR,TR	: 	1759568 	1902667 	1665706 	1843820 	1648082 	1578447 	1551056 	1410834 	1421877 	1601160 	1684483 	1322502 	1621787 	1804267 
A,CRIM,CRT_BGHT,NR,UKC-L	: 	: 	: 	: 	1169522 	1537272 	1607170 	1591592 	1635820 	: 	: 	: 	: 	: 	: 
A,CRIM,CRT_BGHT,NR,UKM	117034 	147034 	153105 	140121 	129682 	148741 	153681 	136262 	134488 	109881 	: 	: 	: 	: 	: 
A,CRIM,CRT_BGHT,NR,UKN	56373 	58568 	59556 	58229 	55553 	49929 	45797 	46269 	42553 	41747 	42553 	: 	: 	: 	: 
A,CRIM,CRT_BGHT,NR,XK	15723 	13612 	12381 	19465 	21681 	21356 	19790 	22356 	24859 	26797 	23640 	21550 	: 	: 	: 
A,CRIM,CRT_BGHT,P_HTHAB,AL	: 	: 	: 	: 	: 	: 	491.51 	940.78 	598.80 	524.58 	588.19 	603.33 	594.60 	528.14 	: 
A,CRIM,CRT_BGHT,P_HTHAB,AT	719.93 	743.85 	727.11 	690.88 	685.86 	663.88 	641.69 	631.65 	611.09 	596.38 	579.90 	593.24 	521.50 	483.09 	529.01 
A,CRIM,CRT_BGHT,P_HTHAB,BA	613.32 	934.03 	1268.04 	1459.52 	1620.62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,CRIM,CRT_BGHT,P_HTHAB,BE	: 	: 	3043.48 	3008.11 	2787.12 	2716.68 	2673.64 	2552.31 	: 	2364.70 	2267.82 	2004.67 	1658.78 	2089.59 	1926.77 
A,CRIM,CRT_BGHT,P_HTHAB,BG	: 	: 	: 	2103.69 	2022.14 	1952.91 	1871.31 	2020.98 	2195.75 	2183.08 	2132.25 	2039.35 	1853.60 	2451.96 	2153.20 
A,CRIM,CRT_BGHT,P_HTHAB,CH	1042.55 	: 	2515.06 	: 	723.76 	: 	: 	: 	405.83 	: 	: 	: 	: 	: 	: 
A,CRIM,CRT_BGHT,P_HTHAB,CZ	: 	: 	: 	1479.43 	1455.25 	1574.35 	1440.45 	831.96 	773.57 	722.91 	698.54 	686.54 	609.05 	581.57 	620.91 
A,CRIM,CRT_BGHT,P_HTHAB,DE	1005.33 	979.81 	949.18 	960.50 	905.18 	870.15 	841.23 	818.83 	815.37 	797.09 	797.09 	796.25 	752.44 	681.02 	673.21 
A,CRIM,CRT_BGHT,P_HTHAB,DK	1948.94 	2117.10 	2061.96 	2115.77 	2726.58 	2260.33 	2362.03 	2631.78 	2483.30 	2348.94 	2898.43 	2767.58 	2797.62 	2386.11 	2612.26 
A,CRIM,CRT_BGHT,P_HTHAB,EE	891.26 	774.18 	710.50 	740.64 	688.87 	637.64 	585.11 	573.44 	579.66 	511.08 	445.44 	427.68 	392.03 	358.18 	291.11 
A,CRIM,CRT_BGHT,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	: 	1517.35 	2058.99 	1711.99 	1998.51 	1835.01 	993.20 	956.92 	2528.70 
A,CRIM,CRT_BGHT,P_HTHAB,ES	12613.29 	12576.92 	2815.59 	2800.47 	2790.06 	746.71 	715.09 	632.02 	652.30 	622.98 	616.93 	636.90 	525.46 	653.47 	688.02 
A,CRIM,CRT_BGHT,P_HTHAB,FI	1231.34 	1142.08 	1150.57 	1111.24 	1119.59 	1021.40 	998.10 	972.61 	941.17 	970.24 	1065.02 	985.14 	1030.39 	1025.57 	929.41 
A,CRIM,CRT_BGHT,P_HTHAB,FR	: 	: 	: 	1544.61 	1551.93 	1572.64 	1519.95 	1512.68 	7492.21 	7133.19 	6994.26 	6693.01 	6126.20 	6365.29 	6439.21 
A,CRIM,CRT_BGHT,P_HTHAB,HR	767.96 	1081.88 	1041.61 	618.83 	513.99 	453.11 	415.98 	432.09 	429.33 	405.13 	416.83 	431.67 	442.17 	461.80 	458.46 
A,CRIM,CRT_BGHT,P_HTHAB,HU	781.36 	751.96 	821.42 	800.52 	730.66 	1431.93 	1437.40 	1435.88 	1387.55 	1304.95 	1183.53 	1159.68 	1280.82 	1345.31 	1358.19 
