Country code;SR Code;SR label;SR level;Country order;#
TR;TR51;Ankara;2;10;192
TR;TR510;Ankara;3;10;193
TR;TR52;Konya, Karaman;2;10;194
TR;TR521;Konya;3;10;195
TR;TR522;Karaman;3;10;196
TR;TR6;Akdeniz;1;10;197
TR;TR61;Antalya, Isparta, Burdur;2;10;198
TR;TR611;Antalya;3;10;199
TR;TR612;Isparta;3;10;200
TR;TR613;Burdur;3;10;201
TR;TR62;Adana, Mersin;2;10;202
TR;TR621;Adana;3;10;203
TR;TR622;Mersin;3;10;204
TR;TR63;Hatay, Kahramanmaraş, Osmaniye;2;10;205
TR;TR631;Hatay;3;10;206
TR;TR632;Kahramanmaraş;3;10;207
TR;TR633;Osmaniye;3;10;208
TR;TR7;Orta Anadolu;1;10;209
TR;TR71;Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir;2;10;210
TR;TR711;Kırıkkale;3;10;211
TR;TR712;Aksaray;3;10;212
TR;TR713;Niğde;3;10;213
TR;TR714;Nevşehir;3;10;214
TR;TR715;Kırşehir;3;10;215
TR;TR72;Kayseri, Sivas, Yozgat;2;10;216
TR;TR721;Kayseri;3;10;217
TR;TR722;Sivas;3;10;218
TR;TR723;Yozgat;3;10;219
TR;TR8;Batı Karadeniz;1;10;220
TR;TR81;Zonguldak, Karabük, Bartın;2;10;221
TR;TR811;Zonguldak;3;10;222
TR;TR812;Karabük;3;10;223
TR;TR813;Bartın;3;10;224
TR;TR82;Kastamonu, Çankırı, Sinop;2;10;225
TR;TR821;Kastamonu;3;10;226
TR;TR822;Çankırı;3;10;227
TR;TR823;Sinop;3;10;228
TR;TR83;Samsun, Tokat, Çorum, Amasya;2;10;229
TR;TR831;Samsun;3;10;230
TR;TR832;Tokat;3;10;231
TR;TR833;Çorum;3;10;232
TR;TR834;Amasya;3;10;233
TR;TR9;Doğu Karadeniz;1;10;234
TR;TR90;Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane;2;10;235
TR;TR901;Trabzon;3;10;236
TR;TR902;Ordu;3;10;237
TR;TR903;Giresun;3;10;238
TR;TR904;Rize;3;10;239
TR;TR905;Artvin;3;10;240
TR;TR906;Gümüşhane;3;10;241
TR;TRA;Kuzeydoğu Anadolu;1;10;242
TR;TRA1;Erzurum, Erzincan, Bayburt;2;10;243
TR;TRA11;Erzurum;3;10;244
TR;TRA12;Erzincan;3;10;245
TR;TRA13;Bayburt;3;10;246
TR;TRA2;Ağrı, Kars, Iğdır, Ardahan;2;10;247
TR;TRA21;Ağrı;3;10;248
TR;TRA22;Kars;3;10;249
TR;TRA23;Iğdır;3;10;250
TR;TRA24;Ardahan;3;10;251
TR;TRB;Ortadoğu Anadolu;1;10;252
TR;TRB1;Malatya, Elazığ, Bingöl, Tunceli;2;10;253
TR;TRB11;Malatya;3;10;254
TR;TRB12;Elazığ;3;10;255
TR;TRB13;Bingöl;3;10;256
TR;TRB14;Tunceli;3;10;257
TR;TRB2;Van, Muş, Bitlis, Hakkari;2;10;258
TR;TRB21;Van;3;10;259
TR;TRB22;Muş;3;10;260
TR;TRB23;Bitlis;3;10;261
TR;TRB24;Hakkari;3;10;262
TR;TRC;Güneydoğu Anadolu;1;10;263
TR;TRC1;Gaziantep, Adıyaman, Kilis;2;10;264
TR;TRC11;Gaziantep;3;10;265
TR;TRC12;Adıyaman;3;10;266
TR;TRC13;Kilis;3;10;267
TR;TRC2;Şanlıurfa, Diyarbakır;2;10;268
TR;TRC21;Şanlıurfa;3;10;269
TR;TRC22;Diyarbakır;3;10;270
TR;TRC3;Mardin, Batman, Şırnak, Siirt;2;10;271
TR;TRC31;Mardin;3;10;272
TR;TRC32;Batman;3;10;273
TR;TRC33;Şırnak;3;10;274
TR;TRC34;Siirt;3;10;275
TR;TRZ;Extra-Regio level 1;1;10;276
TR;TRZZ;Extra-Regio level 2;2;10;277
TR;TRZZZ;Extra-Regio level 3;3;10;278
UA;UA1;Макрорегіон_01;1;11;279
UA;UA11;Полтавська Область;2;11;280
UA;UA111;Кременчуцький Район;3;11;281
UA;UA112;Лубенський Район;3;11;282
UA;UA113;Миргородський Район;3;11;283
UA;UA114;Полтавський Район;3;11;284
UA;UA12;Сумська Область;2;11;285
UA;UA121;Конотопський Район;3;11;286
UA;UA122;Охтирський Район;3;11;287
UA;UA123;Роменський Район;3;11;288
UA;UA124;Сумський Район;3;11;289
UA;UA125;Шосткинський Район;3;11;290
UA;UA13;Харківська Область;2;11;291
UA;UA131;Богодухівський Район;3;11;292
UA;UA132;Ізюмський Район;3;11;293
UA;UA133;Берестинський Район;3;11;294
UA;UA134;Куп'янський Район ;3;11;295
UA;UA135;Лозівський Район;3;11;296
UA;UA136;Харківський Район;3;11;297
UA;UA137;Чугуївський Район;3;11;298
UA;UA14;Чернігівська Область;2;11;299
UA;UA141;Корюківський Район;3;11;300
UA;UA142;Ніжинський Район;3;11;301
UA;UA143;Новгород-Сіверський Район;3;11;302
UA;UA144;Прилуцький Район;3;11;303
UA;UA145;Чернігівський Район;3;11;304
UA;UA2;Макрорегіон_02;1;11;305
UA;UA21;Донецька Область;2;11;306
UA;UA211;Бахмутський Район;3;11;307
UA;UA212;Волноваський Район;3;11;308
UA;UA213;Горлівський Район;3;11;309
UA;UA214;Донецький Район;3;11;310
UA;UA215;Кальміуський Район;3;11;311
UA;UA216;Краматорський Район;3;11;312
UA;UA217;Маріупольський Район;3;11;313
UA;UA218;Покровський Район;3;11;314
UA;UA22;Луганська Область;2;11;315
UA;UA221;Алчевський Район;3;11;316
UA;UA222;Довжанський Район;3;11;317
UA;UA223;Луганський Район;3;11;318
UA;UA224;Ровеньківський Район;3;11;319
UA;UA225;Сватівський Район;3;11;320
UA;UA226;Сіверськодонецький Район;3;11;321
UA;UA227;Старобільський Район;3;11;322
UA;UA228;Щастинський Район;3;11;323
UA;UA3;Макрорегіон_03;1;11;324
UA;UA31;Дніпропетровська Область;2;11;325
UA;UA311;Дніпровський Район;3;11;326
UA;UA312;Кам'янський Район ;3;11;327
UA;UA313;Криворізький Район;3;11;328
UA;UA314;Нікопольський Район;3;11;329
UA;UA315;Самарівський Район;3;11;330
UA;UA316;Павлоградський Район;3;11;331
UA;UA317;Синельниківський Район;3;11;332
UA;UA32;Запорізька Область;2;11;333
UA;UA321;Бердянський Район;3;11;334
UA;UA322;Василівський Район;3;11;335
UA;UA323;Запорізький Район;3;11;336
UA;UA324;Мелітопольський Район;3;11;337
UA;UA325;Пологівський Район;3;11;338
UA;UA33;Кіровоградська Область;2;11;339
UA;UA331;Голованівський Район;3;11;340
UA;UA332;Кропивницький Район;3;11;341
UA;UA333;Новоукраїнський Район;3;11;342
UA;UA334;Олександрійський Район;3;11;343
UA;UA4;Макрорегіон_04;1;11;344
UA;UA41;Миколаївська Область;2;11;345
UA;UA411;Баштанський Район;3;11;346
UA;UA412;Вознесенський Район;3;11;347
UA;UA413;Миколаївський Район;3;11;348
UA;UA414;Первомайський Район;3;11;349
UA;UA42;Одеська Область;2;11;350
UA;UA421;Березівський Район;3;11;351
UA;UA422;Білгород-Дністровський Район;3;11;352
UA;UA423;Болградський Район;3;11;353
UA;UA424;Ізмаїльський Район;3;11;354
UA;UA425;Одеський Район;3;11;355
UA;UA426;Подільський Район;3;11;356
UA;UA427;Роздільнянський Район;3;11;357
UA;UA43;Херсонська Область;2;11;358
UA;UA431;Бериславський Район;3;11;359
UA;UA432;Генічеський Район;3;11;360
UA;UA433;Каховський Район;3;11;361
UA;UA434;Скадовський Район;3;11;362
UA;UA435;Херсонський Район;3;11;363
UA;UA44;Автономна Республіка Крим ;2;11;364
UA;UA441;Бахчисарайський Район;3;11;365
UA;UA442;Білогірський Район;3;11;366
UA;UA443;Джанкойський Район;3;11;367
UA;UA444;Євпаторійський Район;3;11;368
UA;UA445;Керченський Район;3;11;369
UA;UA446;Курманський Район;3;11;370
UA;UA447;Перекопський Район;3;11;371
UA;UA448;Сімферопольський Район;3;11;372
UA;UA449;Феодосійський Район;3;11;373
UA;UA44A;Ялтинський Район;3;11;374
UA;UA45;М. Севастополь;2;11;375
UA;UA450;М. Севастополь;3;11;376
UA;UA5;Макрорегіон_05;1;11;377
UA;UA51;Вінницька Область;2;11;378
UA;UA511;Вінницький Район;3;11;379
UA;UA512;Гайсинський Район;3;11;380
UA;UA513;Жмеринський Район;3;11;381
UA;UA514;Могилів-Подільський Район;3;11;382
UA;UA515;Тульчинський Район;3;11;383
UA;UA516;Хмільницький Район;3;11;384
UA;UA52;Тернопільська Область;2;11;385
UA;UA521;Кременецький Район;3;11;386
UA;UA522;Тернопільський Район;3;11;387
UA;UA523;Чортківський Район;3;11;388
UA;UA53;Хмельницька Область;2;11;389
UA;UA531;Кам'янець-Подільський Район ;3;11;390
UA;UA532;Хмельницький Район;3;11;391
UA;UA533;Шепетівський Район;3;11;392
UA;UA6;Макрорегіон_06;1;11;393
UA;UA61;Київська  Область;2;11;394
UA;UA611;Білоцерківський Район;3;11;395
UA;UA612;Бориспільський Район;3;11;396
UA;UA613;Броварський Район;3;11;397
UA;UA614;Бучанський Район;3;11;398
UA;UA615;Вишгородський Район;3;11;399
UA;UA616;Обухівський Район;3;11;400
UA;UA617;Фастівський Район;3;11;401
UA;UA62;Черкаська  Область;2;11;402
UA;UA621;Звенигородський Район;3;11;403
UA;UA622;Золотоніський Район;3;11;404
UA;UA623;Уманський Район;3;11;405
UA;UA624;Черкаський Район;3;11;406
UA;UA63;М. Київ ;2;11;407
UA;UA630;М. Київ;3;11;408
UA;UA7;Макрорегіон_07;1;11;409
UA;UA71;Закарпатська Область;2;11;410
UA;UA711;Берегівський Район;3;11;411
UA;UA712;Мукачівський Район;3;11;412
UA;UA713;Рахівський Район;3;11;413
UA;UA714;Тячівський Район;3;11;414
UA;UA715;Ужгородський Район;3;11;415
UA;UA716;Хустський Район;3;11;416
UA;UA72;Івано-Франківська Область;2;11;417
UA;UA721;Верховинський Район;3;11;418
UA;UA722;Івано-Франківський Район;3;11;419
UA;UA723;Калуський Район;3;11;420
UA;UA724;Коломийський Район;3;11;421
UA;UA725;Косівський Район;3;11;422
UA;UA726;Надвірнянський Район;3;11;423
UA;UA73;Львівська Область;2;11;424
UA;UA731;Дрогобицький Район;3;11;425
UA;UA732;Золочівський Район;3;11;426
UA;UA733;Львівський Район;3;11;427
UA;UA734;Самбірський Район;3;11;428
UA;UA735;Стрийський Район;3;11;429
UA;UA736;Шептицький Район;3;11;430
UA;UA737;Яворівський Район;3;11;431
UA;UA74;Чернівецька Область;2;11;432
UA;UA741;Вижницький Район;3;11;433
UA;UA742;Дністровський Район;3;11;434
UA;UA743;Чернівецький Район;3;11;435
UA;UA8;Макрорегіон_08;1;11;436
UA;UA81;Волинська Область;2;11;437
UA;UA811;Володимирський Район;3;11;438
UA;UA812;Камінь-Каширський Район;3;11;439
UA;UA813;Ковельський Район;3;11;440
UA;UA814;Луцький Район;3;11;441
UA;UA82;Житомирська Область;2;11;442
UA;UA821;Бердичівський Район;3;11;443
UA;UA822;Житомирський Район;3;11;444
UA;UA823;Коростенський Район;3;11;445
UA;UA824;Звягельський Район;3;11;446
UA;UA83;Рівненська Область;2;11;447
UA;UA831;Вараський Район;3;11;448
UA;UA832;Дубенський Район;3;11;449
UA;UA833;Рівненський Район;3;11;450
UA;UA834;Сарненський Район;3;11;451
UA;UAZ;Extra-Regio level 1;1;11;452
UA;UAZZ;Extra-Regio level 2;2;11;453
UA;UAZZZ;Extra-Regio level 3;3;11;454
XK;XK0;Kosovë/Kosovo;1;12;455
XK;XK00;Kosovë/Kosovo;2;12;456
XK;XK001;Prishtinë/Priština;3;12;457
XK;XK002;Mitrovicë/Mitrovica;3;12;458
XK;XK003;Pejë/Peć;3;12;459
XK;XK004;Prizren/Prizren;3;12;460
XK;XK005;Ferizaj/Uroševac;3;12;461
XK;XK006;Gjilan/Gnjilane;3;12;462
XK;XK007;Gjakovë/Đakovica;3;12;463
XK;XKZ;Extra-Regio level 1;1;12;464
XK;XKZZ;Extra-Regio level 2;2;12;465
XK;XKZZZ;Extra-Regio level 3;3;12;466
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
