freq,leg_stat,sex,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_PRSC,M,NR,CY	85206 	84452 	97691 	112026 	105148 	84432 	100821 	77713 	66261 	57021 	46502 	51496 	41677 	46303 	50150 	: 
A,PER_PRSC,M,NR,CZ	96899 	98768 	87907 	89189 	89258 	90832 	88258 	77388 	70613 	64031 	63635 	64039 	56644 	53931 	57382 	58984 
A,PER_PRSC,M,NR,DE	888782 	859911 	824115 	809230 	774068 	752721 	740565 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,NR,DK	50374 	53208 	52462 	61736 	79492 	68406 	64981 	78780 	72938 	70311 	80098 	80197 	78726 	70790 	77400 	75113 
A,PER_PRSC,M,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7978 	6632 	10049 
A,PER_PRSC,M,NR,FI	197440 	170263 	168362 	166705 	156504 	148946 	139757 	146608 	126787 	71435 	71957 	71416 	69465 	69556 	66647 	67364 
A,PER_PRSC,M,NR,FR	: 	: 	: 	621066 	604954 	600738 	597758 	593432 	605799 	605332 	626566 	624675 	545701 	588591 	594500 	598064 
A,PER_PRSC,M,NR,HR	38602 	39859 	39486 	39029 	32097 	25364 	24574 	25139 	27286 	25766 	24274 	23927 	24169 	24695 	22600 	21720 
A,PER_PRSC,M,NR,HU	79787 	78024 	83997 	74549 	65138 	67876 	68527 	64493 	63659 	58841 	: 	87533 	94381 	100513 	95925 	102358 
A,PER_PRSC,M,NR,IS	487 	: 	: 	1685 	2201 	2360 	2072 	1994 	1965 	1865 	2026 	2320 	2168 	1771 	1636 	1419 
A,PER_PRSC,M,NR,IT	480467 	1306031 	1276747.1401532 	1256219.6 	1269883.5581688 	1280761 	1336659.96342443 	1303895 	1248130.36771145 	1154207 	1517357 	: 	: 	: 	: 	: 
A,PER_PRSC,M,NR,LI	: 	2519 	2394 	862 	848 	: 	868 	793 	757 	875 	786 	: 	851 	931 	1056 	875 
A,PER_PRSC,M,NR,LT	14935 	15832 	16227 	16478 	18299 	20461 	20245 	17738 	15784 	22373 	19148 	17180 	16402 	14684 	14570 	14321 
A,PER_PRSC,M,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	11915 	10614 	7936 	8169 	7147 	7515 	7488 	7834 
A,PER_PRSC,M,NR,LV	: 	10621 	9351 	11176 	11669 	10611 	7879 	8608 	10906 	8448 	8122 	8196 	8166 	7831 	7576 	7740 
A,PER_PRSC,M,NR,ME	: 	: 	: 	: 	: 	6899 	4649 	4252 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,NR,MK	25103 	28918 	28477 	29957 	30361 	32931 	35371 	: 	: 	20189 	: 	11366 	12922 	11379 	11542 	10622 
A,PER_PRSC,M,NR,MT	: 	1590 	: 	1365 	1343 	2499 	2437 	2243 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,NR,NL	214447 	191230 	176094 	192015 	187134 	171627 	173796 	157475 	156079 	143589 	139820 	155917 	144814 	138466 	156986 	153581 
A,PER_PRSC,M,NR,NO	59389 	56954 	58088 	56682 	55732 	56835 	55180 	54247 	54391 	48835 	46853 	45275 	42461 	39396 	37866 	36417 
A,PER_PRSC,M,NR,PL	: 	: 	: 	: 	: 	364833 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,NR,PT	120583 	106745 	105857 	102395 	102108 	92852 	67289 	75071 	71047 	64594 	57579 	55368 	42974 	52832 	56021 	51724 
A,PER_PRSC,M,NR,RO	42223 	46997 	53396 	57184 	55694 	60985 	46353 	53793 	58380 	54537 	53991 	57221 	55156 	57966 	57496 	55128 
A,PER_PRSC,M,NR,RS	: 	: 	: 	: 	: 	: 	: 	: 	38210 	84931 	90640 	81981 	73024 	72846 	68936 	66710 
A,PER_PRSC,M,NR,SE	77980 	80263 	81321 	79287 	76705 	71899 	69418 	68194 	64348 	68444 	70382 	71490 	73684 	70512 	69370 	70480 
A,PER_PRSC,M,NR,SI	: 	: 	: 	: 	: 	: 	10512 	10306 	9626 	9441 	7634 	7580 	7589 	6962 	6550 	6861 
A,PER_PRSC,M,NR,SK	44071 	45898 	46080 	44221 	46184 	45972 	44171 	37027 	32840 	33338 	31785 	30077 	28491 	26375 	26104 	24239 
A,PER_PRSC,M,NR,TR	: 	2228267 	2352689 	2314431 	2343176 	2115325 	2142295 	2150300 	1964505 	2181188 	2517569 	3033481 	2608245 	3015581 	3262055 	3263108 
A,PER_PRSC,M,NR,UKC-L	1264025 	1266098 	1229327 	1156460 	1061184 	1020372 	1022097 	1012507 	983814 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,NR,UKM	58147 	55017 	52358 	51644 	47341 	46305 	46786 	: 	: 	77956 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,NR,UKN	: 	: 	36856 	32201 	31871 	36714 	26230 	29460 	27888 	23232 	24044 	: 	: 	: 	: 	: 
A,PER_PRSC,M,P_HTHAB,AL	522.98 	461.87 	: 	734.06 	: 	: 	: 	: 	1120.57 	1051.91 	1062.76 	970.63 	897.57 	1089.94 	1109.76 	967.36 
A,PER_PRSC,M,P_HTHAB,AT	: 	4977.03 	5232.99 	5310.86 	5349.45 	5312.59 	5174.47 	4990.03 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,P_HTHAB,BA	: 	: 	: 	1042.09 	1068.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,P_HTHAB,BE	9254.85 	9462.90 	9343.55 	9105.57 	8365.12 	8204.94 	8159.46 	7631.33 	: 	7478.92 	7508.15 	7826.87 	9075.89 	8311.69 	7424.70 	7390.01 
A,PER_PRSC,M,P_HTHAB,BG	: 	: 	1414.21 	1478.66 	1274.32 	1225.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,P_HTHAB,CY	22395.64 	21658.47 	24446.89 	27406.44 	25095.41 	20053.39 	24146.54 	18870.39 	16055.80 	13685.16 	11032.29 	12036.53 	9592.59 	10579.92 	11369.74 	: 
A,PER_PRSC,M,P_HTHAB,CZ	1913.07 	1930.31 	1711.53 	1732.76 	1730.41 	1758.83 	1709.64 	1494.86 	1361.52 	1231.20 	1219.11 	1221.14 	1074.43 	1042.97 	1106.95 	1111.12 
A,PER_PRSC,M,P_HTHAB,DE	2206.82 	2139.92 	2054.96 	2068.34 	1973.16 	1911.38 	1872.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,P_HTHAB,DK	919.94 	965.41 	947.87 	1110.23 	1424.46 	2461.66 	2327.17 	2802.55 	2570.15 	2458.27 	2784.59 	2775.87 	2717.58 	2436.95 	2648.04 	2547.07 
A,PER_PRSC,M,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	153.54 	129.66 	197.30 
A,PER_PRSC,M,P_HTHAB,FI	7603.24 	6519.36 	6413.63 	6318.37 	5900.17 	5585.57 	5214.11 	5446.34 	4693.22 	2633.72 	2646.32 	2622.42 	2546.13 	2544.29 	2429.62 	2446.51 
A,PER_PRSC,M,P_HTHAB,FR	: 	: 	: 	1973.96 	1914.09 	1890.74 	1865.36 	1844.43 	1878.60 	1873.26 	1933.00 	1923.50 	1671.62 	1795.46 	1802.46 	1807.47 
A,PER_PRSC,M,P_HTHAB,HR	1858.56 	1919.28 	1903.26 	1886.60 	1556.36 	1233.37 	1198.88 	1232.77 	1348.92 	1284.95 	1224.85 	1212.98 	1225.83 	1256.79 	1213.56 	1166.57 
A,PER_PRSC,M,P_HTHAB,HU	1672.84 	1638.11 	1765.79 	1571.47 	1378.68 	1439.28 	1456.97 	1373.42 	1357.76 	1258.55 	: 	1872.03 	2023.66 	2162.80 	2072.32 	2213.02 
A,PER_PRSC,M,P_HTHAB,IS	302.68 	: 	: 	1053.09 	1372.50 	1461.86 	1268.69 	1207.12 	1174.75 	1090.43 	1140.77 	1268.89 	1159.72 	936.82 	847.25 	709.65 
A,PER_PRSC,M,P_HTHAB,IT	1691.12 	4571.34 	4456.46 	4374.75 	4420.58 	4433.29 	4533.42 	4419.74 	4237.22 	3919.78 	5156.24 	: 	: 	: 	: 	: 
A,PER_PRSC,M,P_HTHAB,LI	: 	14319.82 	13472.90 	4819.41 	4700.14 	: 	4717.39 	4274.24 	4056.81 	4667.66 	4160.93 	: 	4428.83 	4806.90 	5416.50 	4444.33 
A,PER_PRSC,M,P_HTHAB,LT	1004.09 	1074.56 	1118.95 	1170.96 	1322.65 	1494.71 	1493.00 	1317.58 	1187.12 	1705.02 	1476.00 	1326.04 	1262.20 	1125.24 	1115.11 	1072.08 
A,PER_PRSC,M,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	4120.09 	3578.06 	2622.78 	2646.09 	2269.15 	2352.44 	2303.55 	2356.49 
A,PER_PRSC,M,P_HTHAB,LV	: 	1069.97 	963.10 	1178.98 	1248.27 	1145.18 	859.17 	944.68 	1206.02 	943.19 	912.95 	926.20 	926.95 	894.74 	871.75 	887.29 
A,PER_PRSC,M,P_HTHAB,ME	: 	: 	: 	: 	: 	2248.69 	1513.57 	1382.67 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,P_HTHAB,MK	2448.50 	2816.31 	2767.94 	2905.96 	2942.17 	3187.47 	3418.01 	: 	: 	1943.84 	: 	1092.67 	1242.84 	1099.19 	1266.94 	1171.07 
A,PER_PRSC,M,P_HTHAB,MT	: 	777.10 	: 	661.32 	646.62 	1190.68 	1147.23 	1044.54 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,P_HTHAB,NL	2643.55 	2344.54 	2146.58 	2329.29 	2259.29 	2065.97 	2085.29 	1880.78 	1854.30 	1694.25 	1639.72 	1816.98 	1674.53 	1594.03 	1795.06 	1735.32 
A,PER_PRSC,M,P_HTHAB,NO	1253.68 	1186.73 	1195.67 	1152.00 	1117.80 	2241.21 	2149.59 	2087.06 	2073.12 	1843.44 	1755.87 	1686.17 	1568.82 	1448.78 	1383.32 	1316.85 
A,PER_PRSC,M,P_HTHAB,PL	: 	: 	: 	: 	: 	1979.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,P_HTHAB,PT	2378.48 	2106.99 	2090.49 	2026.20 	2029.80 	1858.64 	1357.17 	1524.70 	1449.49 	1322.98 	1182.88 	1141.05 	872.22 	1068.85 	1127.80 	1030.23 
A,PER_PRSC,M,P_HTHAB,RO	420.16 	472.24 	510.91 	548.61 	569.64 	624.75 	475.61 	554.16 	604.99 	567.97 	565.06 	602.30 	583.00 	617.47 	622.26 	595.08 
A,PER_PRSC,M,P_HTHAB,RS	: 	: 	: 	: 	: 	: 	: 	: 	1108.74 	2476.83 	2657.60 	2416.31 	2163.91 	2177.13 	2083.90 	2065.66 
A,PER_PRSC,M,P_HTHAB,SE	849.18 	867.11 	870.61 	842.08 	808.88 	1508.61 	1441.90 	1399.64 	1304.98 	1365.24 	1384.75 	1390.20 	1418.14 	1350.07 	1318.64 	1330.23 
A,PER_PRSC,M,P_HTHAB,SI	: 	: 	: 	: 	: 	: 	1029.71 	1008.19 	940.65 	920.96 	743.30 	729.79 	722.03 	656.83 	619.27 	645.27 
A,PER_PRSC,M,P_HTHAB,SK	1686.16 	1752.94 	1756.40 	1684.50 	1754.88 	1744.02 	1673.74 	1401.30 	1241.08 	1257.24 	1196.49 	1130.26 	1068.94 	989.13 	982.13 	912.92 
A,PER_PRSC,M,P_HTHAB,TR	: 	6206.67 	6452.36 	6247.93 	6242.98 	5573.07 	5568.26 	5515.81 	4972.02 	5447.03 	6210.83 	7373.56 	6251.62 	7194.35 	7688.43 	7641.20 
A,PER_PRSC,M,P_HTHAB,UKC-L	4717.91 	4686.06 	4511.69 	4204.46 	3825.35 	21409.83 	21230.19 	3562.08 	3428.54 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,P_HTHAB,UKM	2320.59 	2180.27 	2061.46 	2018.10 	1839.51 	1793.57 	1805.29 	: 	: 	2959.74 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,M,P_HTHAB,UKN	: 	: 	4180.99 	3630.68 	3573.31 	4098.31 	2914.51 	2694.81 	2515.97 	2531.36 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,NR,AL	11882 	11389 	10857 	10882 	11484 	12043 	19322 	19721 	17446 	16356 	16249 	14723 	13409 	16196 	16246 	13963 
A,PER_PRSC,T,NR,AT	303762 	285550 	278848 	283954 	286507 	286949 	303654 	303037 	310090 	313381 	300664 	332622 	305834 	301567 	336157 	364380 
A,PER_PRSC,T,NR,BA	20950 	19273 	20010 	22448 	22677 	20363 	21064 	20026 	17223 	15922 	15038 	13890 	11452 	13365 	12532 	12532 
A,PER_PRSC,T,NR,BE	613091 	635294 	638423 	637694 	591321 	581896 	582356 	543239 	: 	537912 	546725 	584716 	677467 	633613 	562478 	567321 
A,PER_PRSC,T,NR,BG	52149 	52883 	55210 	57063 	49484 	47243 	43077 	38861 	38469 	37087 	33318 	31993 	30861 	31764 	30915 	30360 
A,PER_PRSC,T,NR,CY	103829 	102179 	117854 	138744 	129126 	104344 	125843 	96039 	82891 	70960 	60282 	71190 	53630 	58704 	64276 	: 
A,PER_PRSC,T,NR,CZ	110410 	113215 	101133 	102767 	103179 	105678 	103408 	91472 	84846 	77220 	76723 	77321 	67780 	64381 	68429 	70441 
A,PER_PRSC,T,NR,DE	1087842 	1056809 	1018006 	1003458 	960225 	935788 	923384 	910681 	900615 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,NR,DK	58514 	61948 	61247 	73097 	96034 	82145 	78027 	96312 	89569 	86656 	99350 	99262 	97679 	88113 	96060 	94074 
A,PER_PRSC,T,NR,EE	13804 	11920 	11010 	11213 	10467 	9542 	8629 	8047 	8524 	7241 	6226 	6053 	5008 	4636 	3795 	3278 
A,PER_PRSC,T,NR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8566 	7196 	11320 
A,PER_PRSC,T,NR,FI	241948 	210456 	210036 	207064 	195272 	186695 	176748 	185292 	159319 	85679 	86331 	86284 	83632 	84363 	81094 	82674 
A,PER_PRSC,T,NR,FR	: 	: 	: 	689029 	675702 	669663 	667382 	661865 	676408 	674848 	698863 	695807 	605013 	653017 	660480 	668036 
A,PER_PRSC,T,NR,HR	74640 	: 	: 	70250 	66068 	58477 	53088 	59427 	61726 	59756 	55266 	53883 	49351 	48872 	47100 	46740 
A,PER_PRSC,T,NR,HU	92706 	92640 	100082 	88032 	76765 	79032 	79835 	75299 	73915 	68280 	: 	108483 	111677 	119159 	116642 	125111 
A,PER_PRSC,T,NR,IE	: 	90193 	84139 	76881 	65161 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,NR,IS	3224 	: 	: 	1957 	2611 	2837 	2489 	2395 	2333 	2286 	2419 	2784 	2643 	2164 	2012 	1664 
A,PER_PRSC,T,NR,IT	563948 	1577949 	1561537 	1543054 	1567225 	1578135 	1648465 	1610495 	1546612 	1424399 	1861598 	: 	: 	: 	: 	: 
A,PER_PRSC,T,NR,LI	2089 	2967 	2864 	1066 	1086 	: 	1078 	1008 	964 	1087 	1051 	: 	1284 	1215 	1393 	1134 
A,PER_PRSC,T,NR,LT	16630 	17610 	18275 	18436 	20283 	22945 	22742 	19661 	17612 	24899 	21128 	19019 	18023 	16278 	16143 	15804 
A,PER_PRSC,T,NR,LU	: 	: 	: 	: 	: 	: 	: 	: 	16232 	14172 	10443 	10942 	9468 	9786 	9746 	10320 
A,PER_PRSC,T,NR,LV	12685 	12328 	10937 	12890 	13563 	12397 	9164 	10060 	12580 	9785 	9375 	9408 	9233 	8811 	8548 	8842 
A,PER_PRSC,T,NR,ME	8677 	7126 	5588 	5684 	5554 	7745 	7393 	6953 	7334 	7837 	8642 	8658 	10134 	10039 	9161 	9227 
A,PER_PRSC,T,NR,MK	26409 	30404 	30004 	31284 	31860 	34436 	37164 	: 	: 	21460 	: 	12780 	14314 	12822 	12902 	12007 
A,PER_PRSC,T,NR,MT	: 	1844 	: 	1577 	1571 	2903 	2858 	2697 	1720 	2311 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,NR,NL	252197 	226509 	208420 	227953 	222851 	206328 	208288 	187950 	186386 	170789 	166355 	184416 	168656 	160641 	179383 	175654 
A,PER_PRSC,T,NR,NO	69958 	66920 	68185 	66699 	65654 	66696 	64977 	64274 	64500 	57781 	55414 	53183 	49948 	46737 	45053 	43183 
A,PER_PRSC,T,NR,PL	555091 	557119 	549815 	560949 	533408 	505927 	361825 	393819 	302803 	269512 	269002 	286620 	260763 	302338 	241927 	232739 
A,PER_PRSC,T,NR,PT	141109 	125260 	124186 	120604 	120719 	110682 	80519 	90069 	85547 	78158 	69788 	67461 	51564 	63669 	67703 	62131 
A,PER_PRSC,T,NR,RO	45073 	49743 	56949 	60980 	59739 	65711 	50342 	58909 	145851 	132313 	133354 	133339 	120231 	125410 	124858 	123071 
A,PER_PRSC,T,NR,RS	61740 	63771 	54908 	54939 	58955 	58423 	41011 	43569 	44963 	105084 	111546 	104027 	92072 	90260 	86788 	85886 
A,PER_PRSC,T,NR,SE	97464 	100945 	101438 	98192 	94198 	87868 	85238 	83964 	79026 	82664 	85145 	86928 	90784 	87196 	85990 	88403 
A,PER_PRSC,T,NR,SI	15080 	14511 	14680 	13867 	13039 	12815 	12299 	12093 	11388 	11065 	8856 	8886 	8865 	8119 	7643 	8006 
A,PER_PRSC,T,NR,SK	51029 	53413 	53557 	52010 	54100 	53899 	51733 	43772 	39139 	39678 	35748 	34102 	31866 	29362 	29913 	29059 
A,PER_PRSC,T,NR,TR	: 	3154560 	3287783 	3317023 	3474826 	2556189 	2590829 	2614148 	2387388 	2649035 	3077013 	4409513 	3860256 	4567925 	4866082 	4808274 
A,PER_PRSC,T,NR,UKC-L	1629113 	1682888 	1642548 	1570312 	1475470 	1432318 	1458921 	1481472 	1445304 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,NR,UKM	70136 	66343 	62999 	62104 	57010 	55829 	56714 	: 	: 	95254 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,NR,UKN	: 	: 	43725 	38330 	38422 	48200 	31480 	39810 	37637 	28354 	29308 	: 	: 	: 	: 	: 
A,PER_PRSC,T,NR,XK	: 	: 	29906 	38323 	36224 	30869 	27089 	35844 	39291 	42469 	38675 	33124 	: 	: 	: 	: 
A,PER_PRSC,T,P_HTHAB,AL	374.82 	357.62 	: 	384.29 	: 	: 	: 	683.38 	606.69 	568.59 	566.10 	514.35 	471.16 	572.35 	581.55 	505.58 
A,PER_PRSC,T,P_HTHAB,AT	3656.26 	3425.91 	3338.84 	3390.43 	3407.50 	3395.10 	3569.13 	3529.87 	3564.06 	3572.16 	3408.01 	3754.72 	3435.93 	3376.00 	3743.84 	4002.08 
A,PER_PRSC,T,P_HTHAB,BA	545.03 	501.38 	520.55 	584.10 	590.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,P_HTHAB,BE	5747.62 	5908.02 	5889.56 	5796.88 	5329.69 	5213.35 	5208.52 	4834.26 	: 	4738.59 	4796.43 	5104.23 	5879.54 	5483.56 	4841.59 	4831.23 
A,PER_PRSC,T,P_HTHAB,BG	693.66 	708.21 	743.89 	774.32 	675.34 	648.54 	594.52 	539.57 	537.74 	522.22 	472.59 	457.04 	443.95 	459.25 	476.90 	470.86 
A,PER_PRSC,T,P_HTHAB,CY	13374.29 	12821.58 	14387.53 	16522.04 	14979.62 	12050.66 	14667.02 	11338.62 	9771.21 	8301.34 	6975.18 	8127.65 	6039.38 	6551.73 	7104.64 	: 
A,PER_PRSC,T,P_HTHAB,CZ	1067.44 	1085.91 	966.66 	979.97 	982.15 	1004.91 	983.67 	868.00 	803.93 	729.95 	723.12 	726.03 	633.82 	613.45 	650.67 	650.57 
A,PER_PRSC,T,P_HTHAB,DE	1323.12 	1288.75 	1244.47 	1250.85 	1195.38 	1162.13 	1143.26 	1121.56 	1095.96 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,P_HTHAB,DK	1068.59 	1123.99 	1106.59 	1314.55 	1720.88 	1466.19 	1386.60 	1701.71 	1569.39 	1507.38 	1718.50 	1709.62 	1677.54 	1508.77 	1635.50 	1585.70 
A,PER_PRSC,T,P_HTHAB,EE	1031.35 	892.39 	825.78 	843.30 	789.83 	722.78 	655.79 	612.00 	647.75 	550.38 	471.98 	456.89 	376.83 	348.55 	284.95 	239.99 
A,PER_PRSC,T,P_HTHAB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80.22 	68.80 	108.70 
A,PER_PRSC,T,P_HTHAB,FI	4564.64 	3951.25 	3924.86 	3852.16 	3615.30 	3440.32 	3242.33 	3386.34 	2903.41 	1556.87 	1565.92 	1563.71 	1513.62 	1524.51 	1461.62 	1485.88 
A,PER_PRSC,T,P_HTHAB,FR	: 	: 	: 	1060.39 	1035.13 	1020.82 	1008.65 	995.91 	1015.04 	1010.10 	1042.67 	1035.77 	896.67 	964.17 	969.99 	978.42 
A,PER_PRSC,T,P_HTHAB,HR	1731.00 	: 	: 	1637.58 	1545.09 	1372.01 	1250.07 	1406.45 	1472.94 	1438.44 	1346.15 	1321.88 	1216.09 	1210.80 	1219.48 	1213.74 
A,PER_PRSC,T,P_HTHAB,HU	922.87 	923.54 	999.39 	881.58 	772.91 	797.59 	808.26 	764.02 	751.90 	696.91 	: 	1110.06 	1152.57 	1234.62 	1213.71 	1303.27 
A,PER_PRSC,T,P_HTHAB,IE	: 	1994.84 	1849.44 	1681.97 	1421.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,P_HTHAB,IS	1022.00 	: 	: 	614.54 	817.02 	881.45 	764.27 	727.74 	701.59 	675.63 	694.22 	779.85 	725.83 	586.78 	534.75 	429.13 
A,PER_PRSC,T,P_HTHAB,IT	961.50 	2674.46 	2638.17 	2599.28 	2638.68 	2644.10 	2712.06 	2649.03 	2549.41 	2350.90 	3077.84 	: 	: 	: 	: 	: 
A,PER_PRSC,T,P_HTHAB,LI	5908.47 	8336.85 	7979.05 	2948.91 	2977.38 	: 	2903.39 	2697.64 	2562.33 	2874.90 	2757.52 	: 	3313.80 	3111.00 	3543.81 	2858.08 
A,PER_PRSC,T,P_HTHAB,LT	517.65 	553.10 	581.64 	603.95 	675.28 	772.06 	772.62 	673.03 	609.72 	874.29 	752.18 	680.66 	641.39 	579.13 	575.30 	553.11 
A,PER_PRSC,T,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	2816.84 	2399.32 	1734.70 	1782.39 	1512.20 	1541.76 	1510.08 	1561.72 
A,PER_PRSC,T,P_HTHAB,LV	578.75 	569.99 	515.77 	621.32 	663.29 	612.55 	457.86 	506.52 	638.92 	501.77 	484.65 	490.01 	483.99 	465.40 	455.71 	469.57 
A,PER_PRSC,T,P_HTHAB,ME	1409.65 	1154.65 	902.74 	917.00 	895.36 	1247.40 	1189.50 	1117.67 	1178.69 	1259.18 	1388.59 	1391.55 	1629.59 	1617.27 	1483.12 	1496.20 
A,PER_PRSC,T,P_HTHAB,MK	1291.28 	1484.12 	1461.67 	1520.65 	1546.76 	1669.79 	1799.04 	: 	: 	1034.86 	: 	615.27 	689.41 	619.78 	702.30 	656.14 
A,PER_PRSC,T,P_HTHAB,MT	: 	448.74 	: 	380.01 	376.25 	688.95 	665.54 	613.39 	381.87 	502.07 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,P_HTHAB,NL	1537.28 	1373.97 	1257.44 	1368.61 	1332.02 	1229.64 	1237.65 	1112.08 	1097.74 	999.85 	968.25 	1067.09 	968.87 	919.24 	1019.76 	986.19 
A,PER_PRSC,T,P_HTHAB,NO	1476.79 	1394.38 	1403.50 	1355.59 	1316.80 	1320.38 	1272.07 	1244.05 	1237.83 	1098.85 	1046.41 	998.14 	930.55 	866.89 	830.43 	786.72 
A,PER_PRSC,T,P_HTHAB,PL	1456.33 	1460.88 	1446.01 	1473.75 	1401.35 	1329.20 	951.72 	1036.21 	797.54 	709.75 	708.33 	754.80 	686.98 	798.99 	655.81 	633.24 
A,PER_PRSC,T,P_HTHAB,PT	1337.10 	1185.84 	1174.50 	1140.71 	1145.08 	1055.39 	772.19 	868.15 	827.23 	758.11 	678.14 	656.45 	496.98 	612.54 	649.67 	590.79 
A,PER_PRSC,T,P_HTHAB,RO	218.42 	243.36 	265.35 	284.77 	297.27 	328.23 	252.37 	296.46 	738.09 	673.56 	682.69 	686.80 	622.03 	653.12 	655.68 	645.89 
A,PER_PRSC,T,P_HTHAB,RS	838.23 	869.41 	751.48 	757.62 	816.93 	813.52 	573.84 	612.41 	635.40 	1492.61 	1593.19 	1493.83 	1329.23 	1313.53 	1276.84 	1293.23 
A,PER_PRSC,T,P_HTHAB,SE	1061.36 	1090.55 	1085.98 	1042.87 	993.35 	919.52 	883.77 	861.40 	802.21 	827.04 	841.33 	849.72 	879.04 	840.10 	822.69 	840.21 
A,PER_PRSC,T,P_HTHAB,SI	750.15 	714.00 	717.16 	676.38 	634.35 	622.44 	596.72 	586.22 	551.69 	535.60 	428.47 	427.03 	422.98 	384.97 	362.71 	378.18 
A,PER_PRSC,T,P_HTHAB,SK	949.19 	992.36 	993.56 	964.50 	1001.05 	996.13 	955.20 	807.40 	721.29 	730.00 	656.76 	625.68 	583.85 	537.79 	550.41 	535.28 
A,PER_PRSC,T,P_HTHAB,TR	: 	4410.92 	4531.04 	4499.31 	4650.20 	3379.98 	3379.29 	3364.59 	3031.95 	3318.97 	3807.69 	5377.20 	4642.24 	5463.09 	5746.42 	5638.25 
A,PER_PRSC,T,P_HTHAB,UKC-L	2982.89 	3057.62 	2961.43 	2807.52 	2617.47 	2523.53 	2551.61 	2569.91 	2486.20 	: 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,P_HTHAB,UKM	1352.42 	1271.69 	1200.77 	1176.08 	1074.39 	1049.39 	1062.57 	: 	: 	1759.17 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,P_HTHAB,UKN	: 	: 	2430.49 	2118.22 	2112.33 	2638.70 	1715.26 	1587.89 	1488.87 	1518.99 	: 	: 	: 	: 	: 	: 
A,PER_PRSC,T,P_HTHAB,XK	: 	: 	1354.37 	2135.96 	: 	: 	: 	: 	2217.82 	2381.18 	2150.40 	1844.66 	: 	: 	: 	: 
A,PER_SUSP,F,NR,AT	47480 	47759 	48422 	51831 	52295 	54424 	53102 	50210 	52767 	53999 	56642 	61707 	56094 	55085 	63020 	73329 
A,PER_SUSP,F,NR,BA	: 	: 	: 	: 	64 	47 	59 	33 	486 	: 	74 	964 	1359 	1569 	1461 	1483 
A,PER_SUSP,F,NR,BE	44220 	46979 	48043 	49854 	48727 	48673 	48473 	44181 	: 	39505 	39631 	40409 	69855 	53130 	39771 	39593 
A,PER_SUSP,F,NR,BG	6001 	6173 	7046 	6487 	6109 	6030 	7659 	5451 	5646 	6936 	6924 	6442 	6057 	6040 	5967 	6310 
A,PER_SUSP,F,NR,CH	: 	27726 	28283 	26913 	27154 	25803 	25053 	26080 	26212 	25809 	26966 	27114 	26114 	26438 	27738 	29536 
A,PER_SUSP,F,NR,CY	: 	399 	: 	675 	871 	555 	742 	595 	648 	658 	516 	556 	561 	609 	904 	674 
