freq,leg_stat,sex,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PER_CNV,F,P_HTHAB,HR	115.57 	115.85 	109.73 	110.71 	91.48 	79.43 	84.57 	67.75 	81.00 	74.64 	74.45 	82.14 	75.87 	85.93 	82.35 	75.11 
A,PER_CNV,F,P_HTHAB,HU	228.46 	248.60 	271.41 	217.48 	189.81 	176.55 	179.78 	172.41 	176.74 	174.59 	173.97 	165.98 	144.20 	150.30 	152.44 	155.88 
A,PER_CNV,F,P_HTHAB,IS	: 	: 	: 	: 	: 	267.42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PER_CNV,F,P_HTHAB,IT	136.58 	128.55 	126.99 	134.72 	134.91 	133.11 	122.76 	117.03 	106.12 	96.89 	106.37 	: 	: 	: 	: 	: 
A,PER_CNV,F,P_HTHAB,LT	78.48 	80.97 	91.86 	89.89 	99.68 	131.63 	134.68 	105.97 	93.08 	101.84 	106.18 	102.96 	82.56 	84.14 	84.23 	84.66 
A,PER_CNV,F,P_HTHAB,LU	: 	: 	: 	: 	: 	: 	: 	: 	611.38 	703.68 	566.42 	555.09 	516.16 	518.28 	327.16 	358.75 
A,PER_CNV,F,P_HTHAB,LV	88.71 	102.38 	96.21 	92.13 	92.79 	88.49 	99.87 	108.38 	96.18 	99.86 	95.14 	80.48 	72.46 	67.68 	58.11 	44.62 
A,PER_CNV,F,P_HTHAB,ME	: 	: 	11.47 	20.40 	26.44 	23.88 	74.12 	: 	97.94 	95.67 	81.37 	110.03 	107.53 	115.65 	84.16 	75.32 
A,PER_CNV,F,P_HTHAB,MK	65.98 	71.83 	67.29 	66.54 	61.58 	70.45 	110.77 	: 	: 	29.27 	: 	41.18 	55.47 	67.14 	84.22 	63.17 
A,PER_CNV,F,P_HTHAB,MT	: 	: 	: 	: 	: 	: 	19.54 	8.67 	11.16 	13.12 	14.89 	0.83 	1.21 	2.82 	6.41 	3.11 
A,PER_CNV,F,P_HTHAB,NL	177.52 	175.87 	149.47 	142.74 	125.19 	136.47 	131.38 	136.11 	117.09 	115.96 	105.62 	99.68 	68.71 	70.50 	66.05 	68.37 
A,PER_CNV,F,P_HTHAB,NO	221.86 	211.70 	216.29 	210.52 	201.05 	412.90 	402.41 	433.69 	395.69 	370.73 	80.69 	76.84 	70.80 	68.11 	60.98 	62.42 
A,PER_CNV,F,P_HTHAB,PL	205.24 	198.15 	207.72 	202.69 	194.21 	183.71 	166.56 	150.27 	164.94 	146.40 	155.23 	164.28 	156.35 	: 	: 	: 
