freq	unit	cities	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	country
A	P_HTHAB	Vilnius	10.41	5.37	4.79	4.1	3.56	4.65	7.6	6.08	3.31		2.03	2.94	2.84	2.17	1.98	1.6	Lithuania
A	P_HTHAB	Luxembourg (greater city)	3.15	5.57	0.0	3.16	0.0	0.0	0.93	0.9									Luxembourg
A	P_HTHAB	Rīga	4.19	5.19	3.42	2.73	4.0	4.04	4.04	4.68	7.66	6.26	5.15	4.69	4.99	5.59	4.39	5.12	Latvia
A	P_HTHAB	Podgorika	3.64	4.52	3.86	3.76	3.73	0.53	2.6										Montenegro
A	P_HTHAB	Skopje	2.46	2.26	2.25	2.06	0.39	1.3											North Macedonia
A	P_HTHAB	Greater Valletta			0.37	0.0	1.1	0.73	1.08	0.7	1.03	2.71	1.64	0.64	1.54	0.39	1.93	0.77	Malta
A	P_HTHAB	Amsterdam (greater city)	1.47	3.18	1.3	1.54	2.15	2.0	2.1				0.9	1.5	0.7	1.49	0.98	0.98	Netherlands
A	P_HTHAB	Oslo (greater city)	2.14	1.22	0.85	3.17	1.3	1.28										0.86	Norway
A	P_HTHAB	Warszawa	1.46	1.92		1.7	1.46	0.93	0.92								0.64		Poland
A	P_HTHAB	Lisboa (greater city)	0.49	1.04	1.09	1.09	2.05	2.1	1.37	2.16		2.18							Portugal
A	P_HTHAB	Bucuresti	0.87	1.03	1.02	0.79	0.98	0.61	0.99	0.81		0.71	1.28						Romania
A	P_HTHAB	Belgrade	2.16	1.41	1.22	1.81	1.14	2.16	2.57										Serbia
A	P_HTHAB	Ljubljana	0.0	0.36	1.07	1.43	0.71	0.0	1.4	3.13	0.35	1.73	0.0	0.68	0.0	0.0	0.34	0.68	Slovenia
A	P_HTHAB	Bratislava (greater city)	2.33	2.09	1.85	3.4	2.89	2.17	3.99	3.52	2.11	3.52	4.26	4.02	1.37	2.52	1.89	1.05	Slovakia
