freq	unit	iccs	geo	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 
A	NR	ICCS02-04	United Kingdom	23085 	23382 	24360 	25178 	23656 	25725 	27321 	24981 	27085 	28183 	27423 	27400	26558	27618	25182 
A	NR	ICCS02-04	United Kingdom	7507 	7693 	8368 	9110 	8251 	21452 	24163 	24330 	29745 	32360 	32669 	32448	34288	35101	32388 
A	NR	ICCS0401	Austria	: 	: 	: 	: 	1991 	2234 	2283 	3034 	2824 	3638 	4434 	4798	4770	5095	5036 
A	NR	ICCS0401	Belgium	: 	: 	: 	: 	: 	: 	: 	28188 	28755 	30288 	27986 	24240	23995	22820	21186 
A	NR	ICCS0401	Bulgaria	: 	: 	5737 	5623 	6481 	4494 	4044 	4266 	4069 	4665 	4933 	4131	3754	2875	2996 
A	NR	ICCS0401	Switzerland	4980 	3812 	3315 	3776 	4093 	4273 	4289 	3752 	3822 	3968 	4344 	4749	3977	4088	4481 
A	NR	ICCS0401	Cyprus	17 	14 	22 	15 	23 	29 	31 	39 	39 	36 	66 	100	73	66	69 
A	NR	ICCS0401	Czechia	4109 	3826 	3978 	4281 	4751 	4306 	4817 	4644 	4321 	5434 	5443 	5931	5368	4613	4668 
A	NR	ICCS0401	Germany	: 	: 	: 	67578 	69569 	64405 	61420 	59414 	57108 	58867 	59782 	59732	54841	53696	52949 
A	NR	ICCS0401	Denmark	4610 	4171 	4112 	4368 	4861 	5008 	5539 	5915 	5872 	6033 	5884 	5733	5199	5048	5784 
A	NR	ICCS0401	Estonia	: 	: 	: 	: 	3478 	3978 	4918 	4754 	4475 	: 	1885 	1632	1298	1005	887 
A	NR	ICCS0401	Greece	1505 	1257 	1600 	1487 	1967 	2254 	2048 	1581 	1735 	1992 	2083 	2339	2084	2463	2823 
A	NR	ICCS0401	Spain	: 	: 	87255 	99282 	104788 	105528 	101842 	94831 	106491 	104380 	92980 	88413	90104	90591	89884 
A	NR	ICCS0401	Finland	: 	: 	: 	: 	2016 	2092 	2277 	2600 	2157 	2120 	2045 	2017	1814	1700	1784 
A	NR	ICCS0401	France	: 	: 	: 	: 	80498 	84291 	94947 	109836 	134281 	133137 	125286 	119641	124600	127190	112885 
A	NR	ICCS0401	Metropolitan France	: 	: 	: 	: 	80498 	84291 	94947 	109836 	134281 	133137 	125286 	119641	124600	127190	112885 
A	NR	ICCS0401	Croatia	644 	414 	464 	521 	593 	728 	667 	802 	801 	1204 	1236 	1622	1560	1445	1272 
A	NR	ICCS0401	Hungary	2881 	2570 	2657 	2689 	3056 	3056 	3167 	3494 	3319 	3389 	3289 	3227	2982	2709	3119 
A	NR	ICCS0401	Ireland	: 	: 	: 	: 	: 	: 	: 	1397 	1744 	1688 	2894 	2702	2406	2475	2151 
A	NR	ICCS0401	Iceland	: 	: 	: 	: 	: 	: 	: 	34 	39 	32 	39 	35	49	50	42 
A	NR	ICCS0401	Italy	86306 	79145 	69535 	68571 	69993 	73289 	72836 	67424 	66671 	68248 	70625 	66643	65724	71762	74130 
A	NR	ICCS0401	Liechtenstein	: 	: 	: 	4 	7 	7 	7 	2 	1 	1 	3 	2	1	4	5 
A	NR	ICCS0401	Lithuania	3723 	4217 	2837 	3481 	3971 	3646 	3376 	4374 	4185 	4535 	4919 	5323	5206	4343	3802 
A	NR	ICCS0401	Luxembourg	254 	291 	252 	260 	288 	372 	352 	307 	257 	367 	374 	339	351	263	331 
A	NR	ICCS0401	Latvia	: 	: 	: 	: 	: 	: 	2619 	3160 	3059 	2664 	2503 	2467	2163	2248	1468 
A	NR	ICCS0401	Montenegro	: 	: 	: 	: 	: 	: 	: 	: 	: 	4173 	3908 	4239	86	80	67 
A	NR	ICCS0401	North Macedonia	: 	: 	: 	: 	: 	: 	: 	296 	266 	463 	573 	783	709	503	521 
A	NR	ICCS0401	Malta	: 	: 	: 	: 	: 	318 	212 	146 	160 	156 	195 	265	256	222	200 
A	NR	ICCS0401	Netherlands	16341 	15928 	15747 	15156 	14186 	14498 	17685 	19004 	21174 	20647 	20018 	17683	16445	14485	13660 
A	NR	ICCS0401	Norway	976 	951 	891 	947 	989 	1240 	1558 	1635 	1392 	1548 	1437 	1596	1448	1388	1464 
A	NR	ICCS0401	Poland	17475 	19152 	20252 	20372 	23988 	26647 	36597 	43255 	41208 	40345 	44086 	41287	36347	29472	22766 
A	NR	ICCS0401	Portugal	11918 	14322 	14396 	12892 	13901 	12442 	16065 	17156 	18585 	19764 	19767 	21051	20183	20870	18427 
A	NR	ICCS0401	Romania	4647 	4161 	4154 	3866 	4010 	3548 	3336 	3280 	3467 	3025 	2782 	3087	3326	4078	2496 
A	NR	ICCS0401	Serbia	: 	: 	: 	: 	: 	: 	: 	32511 	39627 	27333 	21126 	22893	23854	23785	24272 
A	NR	ICCS0401	Sweden	6101 	5331 	5747 	5821 	6641 	6713 	8628 	8999 	8538 	8974 	8575 	8590	9398	8584	8673 
A	NR	ICCS0401	Slovenia	205 	275 	292 	507 	341 	379 	463 	474 	503 	449 	349 	398	429	525	450 
A	NR	ICCS0401	Slovakia	: 	: 	: 	: 	1199 	1231 	1437 	1264 	1366 	1578 	1918 	2156	1919	1594	1429 
A	NR	ICCS0401	Turkey	353 	262 	1809 	1671 	1491 	1656 	1585 	1858 	3109 	3943 	4827 	10864	15147	21609	12657 
A	NR	ICCS0401	United Kingdom	57845 	60007 	68074 	74035 	63072 	66835 	84277 	95154 	121359 	110271 	103736 	91010	98198	101376	84773 
A	NR	ICCS0401	United Kingdom	5582 	5297 	5330 	5254 	4484 	4951 	5075 	4420 	4228 	4938 	4159 	3736	3553	3578	3064 
A	NR	ICCS0401	United Kingdom	1723 	1567 	1539 	1725 	1653 	1395 	1383 	1767 	2222 	2497 	1973 	1487	1744	1574	1143 
A	NR	ICCS05012	Austria	: 	14160 	13721 	13849 	12826 	11811 	10111 	13262 	13008 	12674 	13429 	20276	21227	18945	20040 
A	NR	ICCS05012	Belgium	: 	: 	: 	: 	: 	: 	: 	83315 	77330 	79203 	63994 	57484	56978	63615	62964 
A	NR	ICCS05012	Bulgaria	: 	: 	80671 	70126 	85356 	43830 	33004 	39455 	36269 	31639 	28210 	25565	22379	23460	22208 
A	NR	ICCS05012	Switzerland	69278 	66466 	67044 	74321 	82559 	83416 	76322 	60384 	57375 	60822 	68551 	70370	61194	56706	57493 
A	NR	ICCS05012	Cyprus	1443 	1287 	1002 	1316 	1083 	1347 	1026 	1010 	792 	1228 	3159 	3311	2812	3084	2656 
A	NR	ICCS05012	Czechia	17632 	14804 	13936 	13538 	13068 	12752 	12445 	11294 	10590 	11933 	12164 	11670	10361	9603	9163 
A	NR	ICCS05012	Germany	227090 	210982 	211221 	195801 	182009 	166742 	149044 	140015 	133722 	130055 	123280 	124155	109736	106107	109128 
A	NR	ICCS05012	Denmark	35562 	31864 	32363 	33502 	34648 	31463 	34311 	32846 	32274 	35557 	33879 	32956	29439	31204	36342 
A	NR	ICCS05012	Estonia	7137 	6878 	8175 	6864 	6610 	7026 	7588 	7285 	7652 	7356 	6495 	5752	4766	3928	3096 
A	NR	ICCS05012	Greece	32803 	34011 	42377 	42825 	44286 	43228 	36947 	31840 	31903 	31805 	31181 	26489	37595	42069	49886 
A	NR	ICCS05012	Spain	: 	: 	76610 	80808 	84430 	89428 	91553 	90518 	99066 	93751 	88128 	81552	81495	80981	72723 
A	NR	ICCS05012	Finland	13194 	12829 	11512 	10311 	10436 	10291 	9763 	9264 	7957 	7406 	7373 	7901	7281	5923	6532 
A	NR	ICCS05012	France	248002 	246641 	237624 	236272 	213561 	207274 	191102 	186492 	210850 	224223 	216797 	202880	181503	177840	165780 
A	NR	ICCS05012	Metropolitan France	248002 	246641 	237624 	236272 	213561 	207274 	191102 	186492 	210850 	224223 	216797 	202880	181503	177840	165780 
A	NR	ICCS05012	Croatia	: 	: 	: 	: 	: 	: 	: 	2957 	4037 	4174 	4125 	3734	3396	2981	3094 
A	NR	ICCS05012	Hungary	17771 	21061 	22372 	30116 	31269 	30525 	29902 	26866 	26194 	22907 	19366 	18671	17786	16856	17415 
