freq	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	FOR	P_HTHAB	MK	: 	2.44 	: 	: 	: 	: 	: 	: 	14.63 	6.41 	: 	: 	: 	: 	15.84 	7.98 
A	FOR	P_HTHAB	MT	37.76 	52.32 	69.08 	: 	: 	: 	: 	: 	52.62 	54.10 	54.03 	79.02 	102.61 	60.26 	50.67 	64.39 
A	FOR	P_HTHAB	NL	17.19 	17.31 	17.21 	16.25 	15.18 	14.36 	12.89 	11.20 	10.79 	12.04 	12.72 	13.28 	13.22 	13.04 	13.96 	14.96 
A	FOR	P_HTHAB	NO	: 	: 	: 	: 	24.01 	23.99 	24.98 	26.34 	25.47 	25.26 	22.58 	19.95 	18.48 	16.69 	16.13 	16.00 
A	FOR	P_HTHAB	PL	1.43 	1.56 	1.50 	1.46 	1.49 	1.37 	1.43 	1.37 	1.75 	2.22 	2.74 	3.45 	3.34 	4.60 	4.86 	6.40 
A	FOR	P_HTHAB	PT	20.75 	21.42 	22.60 	24.10 	24.68 	25.24 	23.90 	24.12 	22.31 	20.99 	19.12 	19.32 	17.18 	16.24 	18.49 	19.50 
A	FOR	P_HTHAB	RO	0.93 	0.99 	0.96 	0.97 	0.87 	0.97 	1.27 	1.35 	1.53 	1.46 	1.30 	1.21 	1.17 	1.17 	1.30 	1.32 
A	FOR	P_HTHAB	RS	2.21 	2.62 	4.34 	2.61 	2.90 	4.90 	4.23 	4.96 	5.06 	4.97 	4.53 	5.00 	5.57 	6.16 	5.80 	10.98 
A	FOR	P_HTHAB	SE	: 	: 	: 	: 	20.92 	19.39 	13.73 	13.59 	12.93 	12.41 	13.03 	13.82 	14.19 	13.77 	14.22 	14.94 
A	FOR	P_HTHAB	SI	6.77 	6.74 	7.28 	6.49 	7.88 	7.04 	7.28 	6.35 	5.72 	: 	9.14 	13.50 	19.85 	17.02 	19.17 	23.05 
A	FOR	P_HTHAB	SK	2.72 	3.12 	3.65 	3.60 	3.81 	3.47 	3.27 	3.34 	3.89 	4.03 	3.84 	4.70 	4.01 	4.78 	7.49 	9.30 
A	FOR	P_HTHAB	TR	: 	2.60 	2.92 	3.05 	2.93 	3.26 	3.84 	4.90 	5.64 	8.13 	10.61 	12.20 	12.39 	14.41 	17.75 	14.56 
A	FOR	P_HTHAB	UKC-L	18.51 	18.11 	18.43 	17.70 	17.33 	15.72 	15.90 	15.33 	14.51 	14.39 	14.01 	: 	: 	: 	: 	: 
A	FOR	P_HTHAB	UKM	5.17 	5.94 	5.18 	5.17 	5.43 	5.04 	5.40 	5.51 	: 	: 	: 	: 	: 	: 	: 	: 
A	FOR	P_HTHAB	UKN	7.17 	7.33 	5.61 	7.85 	6.49 	7.88 	7.24 	6.60 	10.65 	6.70 	7.52 	: 	: 	: 	: 	: 
A	FOR	P_HTHAB	XK	: 	: 	: 	3.40 	: 	: 	: 	: 	5.08 	6.45 	4.56 	5.62 	5.72 	: 	: 	: 
A	NAT	NR	AL	4880 	4629 	4603 	4590 	4550 	4914 	5590 	5892 	5942 	5573 	5226 	4932 	4505 	4842 	4937 	4892 
